Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.6000e+01	 4.2829e+00	 1.0000e-05	 7.6483e+01	 4.2625e+00	 7.4566e+01	
 1.7000e+01	 4.2419e+00	 1.0000e-05	 7.3424e+01	 4.2224e+00	 7.1615e+01	
 1.8000e+01	 4.2038e+00	 1.0000e-05	 7.0700e+01	 4.1843e+00	 6.8920e+01	
 1.9000e+01	 4.1685e+00	 1.0000e-05	 6.8267e+01	 4.1499e+00	 6.6584e+01	
 2.0000e+01	 4.1343e+00	 1.0000e-05	 6.5970e+01	 4.1174e+00	 6.4471e+01	
 2.1000e+01	 4.1033e+00	 1.0000e-05	 6.3973e+01	 4.0859e+00	 6.2488e+01	
 2.2000e+01	 4.0727e+00	 1.0000e-05	 6.2060e+01	 4.0589e+00	 6.0860e+01	
 2.3000e+01	 4.0455e+00	 1.0000e-05	 6.0417e+01	 4.0314e+00	 5.9239e+01	
 2.4000e+01	 4.0184e+00	 1.0000e-05	 5.8815e+01	 4.0068e+00	 5.7826e+01	
 2.5000e+01	 3.9932e+00	 1.0000e-05	 5.7345e+01	 3.9838e+00	 5.6550e+01	
 2.6000e+01	 3.9692e+00	 1.0000e-05	 5.5984e+01	 3.9612e+00	 5.5300e+01	
 2.7000e+01	 3.9453e+00	 1.0000e-05	 5.4686e+01	 3.9397e+00	 5.4160e+01	
 2.8000e+01	 3.9251e+00	 1.0000e-05	 5.3592e+01	 3.9187e+00	 5.3049e+01	
 2.9000e+01	 3.9024e+00	 1.0000e-05	 5.2390e+01	 3.8991e+00	 5.2045e+01	
 3.0000e+01	 3.8826e+00	 1.0000e-05	 5.1370e+01	 3.8800e+00	 5.1073e+01	
 3.1000e+01	 3.8635e+00	 1.0000e-05	 5.0437e+01	 3.8628e+00	 5.0214e+01	
 3.2000e+01	 3.8447e+00	 1.0000e-05	 4.9467e+01	 3.8446e+00	 4.9322e+01	
 3.3000e+01	 3.8268e+00	 1.0000e-05	 4.8597e+01	 3.8289e+00	 4.8584e+01	
 3.4000e+01	 3.8094e+00	 1.0000e-05	 4.7768e+01	 3.8129e+00	 4.7817e+01	
 3.5000e+01	 3.7932e+00	 1.0000e-05	 4.7013e+01	 3.7976e+00	 4.7112e+01	
 3.6000e+01	 3.7764e+00	 1.0000e-05	 4.6215e+01	 3.7833e+00	 4.6462e+01	
 3.7000e+01	 3.7615e+00	 1.0000e-05	 4.5543e+01	 3.7683e+00	 4.5779e+01	
 3.8000e+01	 3.7453e+00	 1.0000e-05	 4.4803e+01	 3.7539e+00	 4.5138e+01	
 3.9000e+01	 3.7302e+00	 1.0000e-05	 4.4129e+01	 3.7405e+00	 4.4548e+01	
 4.0000e+01	 3.7168e+00	 1.0000e-05	 4.3547e+01	 3.7275e+00	 4.3973e+01	
 4.1000e+01	 3.7025e+00	 1.0000e-05	 4.2924e+01	 3.7151e+00	 4.3447e+01	
 4.2000e+01	 3.6886e+00	 1.0000e-05	 4.2322e+01	 3.7029e+00	 4.2929e+01	
 4.3000e+01	 3.6760e+00	 1.0000e-05	 4.1818e+01	 3.6904e+00	 4.2397e+01	
 4.4000e+01	 3.6641e+00	 1.0000e-05	 4.1308e+01	 3.6783e+00	 4.1892e+01	
 4.5000e+01	 3.6524e+00	 1.0000e-05	 4.0837e+01	 3.6666e+00	 4.1411e+01	
 4.6000e+01	 3.6392e+00	 1.0000e-05	 4.0301e+01	 3.6559e+00	 4.0980e+01	
 4.7000e+01	 3.6279e+00	 1.0000e-05	 3.9850e+01	 3.6456e+00	 4.0563e+01	
 4.8000e+01	 3.6164e+00	 1.0000e-05	 3.9405e+01	 3.6354e+00	 4.0160e+01	
 4.9000e+01	 3.6050e+00	 1.0000e-05	 3.8955e+01	 3.6252e+00	 3.9761e+01	
 5.0000e+01	 3.5937e+00	 1.0000e-05	 3.8521e+01	 3.6151e+00	 3.9370e+01	
 5.1000e+01	 3.5840e+00	 1.0000e-05	 3.8146e+01	 3.6052e+00	 3.8974e+01	
 5.2000e+01	 3.5737e+00	 1.0000e-05	 3.7750e+01	 3.5964e+00	 3.8648e+01	
 5.3000e+01	 3.5639e+00	 1.0000e-05	 3.7384e+01	 3.5869e+00	 3.8283e+01	
 5.4000e+01	 3.5540e+00	 1.0000e-05	 3.7015e+01	 3.5781e+00	 3.7942e+01	
 5.5000e+01	 3.5431e+00	 1.0000e-05	 3.6620e+01	 3.5688e+00	 3.7602e+01	
 5.6000e+01	 3.5351e+00	 1.0000e-05	 3.6314e+01	 3.5606e+00	 3.7306e+01	
 5.7000e+01	 3.5268e+00	 1.0000e-05	 3.6011e+01	 3.5523e+00	 3.6997e+01	
 5.8000e+01	 3.5171e+00	 1.0000e-05	 3.5688e+01	 3.5447e+00	 3.6732e+01	
 5.9000e+01	 3.5078e+00	 1.0000e-05	 3.5332e+01	 3.5374e+00	 3.6452e+01	
 6.0000e+01	 3.4996e+00	 1.0000e-05	 3.5051e+01	 3.5279e+00	 3.6102e+01	
 6.1000e+01	 3.4912e+00	 1.0000e-05	 3.4742e+01	 3.5208e+00	 3.5859e+01	
 6.2000e+01	 3.4820e+00	 1.0000e-05	 3.4428e+01	 3.5132e+00	 3.5592e+01	
 6.3000e+01	 3.4743e+00	 1.0000e-05	 3.4164e+01	 3.5064e+00	 3.5358e+01	
 6.4000e+01	 3.4675e+00	 1.0000e-05	 3.3934e+01	 3.4993e+00	 3.5096e+01	
 6.5000e+01	 3.4580e+00	 1.0000e-05	 3.3616e+01	 3.4921e+00	 3.4855e+01	
 6.6000e+01	 3.4503e+00	 1.0000e-05	 3.3361e+01	 3.4850e+00	 3.4603e+01	
