Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0891e+01	 1.0000e-05	 5.4071e+04	 1.0883e+01	 5.3429e+04	
 2.0000e+00	 1.0872e+01	 1.0000e-05	 5.3049e+04	 1.0871e+01	 5.2790e+04	
 3.0000e+00	 1.0855e+01	 1.0000e-05	 5.2150e+04	 1.0859e+01	 5.2141e+04	
 4.0000e+00	 1.0840e+01	 1.0000e-05	 5.1397e+04	 1.0846e+01	 5.1466e+04	
 5.0000e+00	 1.0823e+01	 1.0000e-05	 5.0538e+04	 1.0832e+01	 5.0756e+04	
 6.0000e+00	 1.0802e+01	 1.0000e-05	 4.9471e+04	 1.0817e+01	 4.9976e+04	
 7.0000e+00	 1.0778e+01	 1.0000e-05	 4.8321e+04	 1.0799e+01	 4.9111e+04	
 8.0000e+00	 1.0756e+01	 1.0000e-05	 4.7231e+04	 1.0779e+01	 4.8102e+04	
 9.0000e+00	 1.0729e+01	 1.0000e-05	 4.6000e+04	 1.0753e+01	 4.6869e+04	
 1.0000e+01	 1.0692e+01	 1.0000e-05	 4.4319e+04	 1.0718e+01	 4.5261e+04	
 1.1000e+01	 1.0642e+01	 1.0000e-05	 4.2176e+04	 1.0667e+01	 4.2999e+04	
 1.2000e+01	 1.0565e+01	 1.0000e-05	 3.9085e+04	 1.0580e+01	 3.9429e+04	
 1.3000e+01	 1.0431e+01	 1.0000e-05	 3.4296e+04	 1.0417e+01	 3.3524e+04	
 1.4000e+01	 1.0192e+01	 1.0000e-05	 2.7126e+04	 1.0136e+01	 2.5326e+04	
 1.5000e+01	 9.8327e+00	 1.0000e-05	 1.9039e+04	 9.7669e+00	 1.7521e+04	
 1.6000e+01	 9.4105e+00	 1.0000e-05	 1.2521e+04	 9.3591e+00	 1.1672e+04	
 1.7000e+01	 8.9513e+00	 1.0000e-05	 7.9112e+03	 8.9386e+00	 7.6813e+03	
 1.8000e+01	 8.4835e+00	 1.0000e-05	 4.9789e+03	 8.5221e+00	 5.0782e+03	
 1.9000e+01	 8.0214e+00	 1.0000e-05	 3.1375e+03	 8.1285e+00	 3.4359e+03	
 2.0000e+01	 7.6106e+00	 1.0000e-05	 2.0832e+03	 7.7740e+00	 2.4182e+03	
 2.1000e+01	 7.2293e+00	 1.0000e-05	 1.4192e+03	 7.4679e+00	 1.7869e+03	
 2.2000e+01	 6.8920e+00	 1.0000e-05	 1.0070e+03	 7.2148e+00	 1.3921e+03	
 2.3000e+01	 6.6209e+00	 1.0000e-05	 7.6883e+02	 7.0134e+00	 1.1420e+03	
 2.4000e+01	 6.3930e+00	 1.0000e-05	 6.1070e+02	 6.8564e+00	 9.7903e+02	
 2.5000e+01	 6.2097e+00	 1.0000e-05	 5.0662e+02	 6.7347e+00	 8.6919e+02	
 2.6000e+01	 6.0873e+00	 1.0000e-05	 4.5005e+02	 6.6395e+00	 7.9227e+02	
 2.7000e+01	 5.9470e+00	 1.0000e-05	 3.9140e+02	 6.5641e+00	 7.3637e+02	
 2.8000e+01	 5.8521e+00	 1.0000e-05	 3.5470e+02	 6.5034e+00	 6.9444e+02	
 2.9000e+01	 5.7862e+00	 1.0000e-05	 3.3252e+02	 6.4545e+00	 6.6260e+02	
 3.0000e+01	 5.7187e+00	 1.0000e-05	 3.1000e+02	 6.4143e+00	 6.3759e+02	
 3.1000e+01	 5.6624e+00	 1.0000e-05	 2.9280e+02	 6.3812e+00	 6.1790e+02	
 3.2000e+01	 5.5893e+00	 1.0000e-05	 2.7198e+02	 6.3539e+00	 6.0223e+02	
 3.3000e+01	 5.5530e+00	 1.0000e-05	 2.6321e+02	 6.3311e+00	 5.8956e+02	
 3.4000e+01	 5.5257e+00	 1.0000e-05	 2.5527e+02	 6.3117e+00	 5.7908e+02	
 3.5000e+01	 5.4784e+00	 1.0000e-05	 2.4380e+02	 6.2955e+00	 5.7057e+02	
