Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0872e+01	 1.0000e-05	 5.3085e+04	 1.0868e+01	 5.2641e+04	
 2.0000e+00	 1.0853e+01	 1.0000e-05	 5.2056e+04	 1.0854e+01	 5.1903e+04	
 3.0000e+00	 1.0834e+01	 1.0000e-05	 5.1063e+04	 1.0840e+01	 5.1141e+04	
 4.0000e+00	 1.0813e+01	 1.0000e-05	 5.0037e+04	 1.0824e+01	 5.0331e+04	
 5.0000e+00	 1.0791e+01	 1.0000e-05	 4.8945e+04	 1.0806e+01	 4.9438e+04	
 6.0000e+00	 1.0766e+01	 1.0000e-05	 4.7742e+04	 1.0785e+01	 4.8412e+04	
 7.0000e+00	 1.0737e+01	 1.0000e-05	 4.6359e+04	 1.0759e+01	 4.7167e+04	
 8.0000e+00	 1.0700e+01	 1.0000e-05	 4.4671e+04	 1.0724e+01	 4.5548e+04	
 9.0000e+00	 1.0648e+01	 1.0000e-05	 4.2445e+04	 1.0672e+01	 4.3236e+04	
 1.0000e+01	 1.0568e+01	 1.0000e-05	 3.9201e+04	 1.0583e+01	 3.9550e+04	
 1.1000e+01	 1.0426e+01	 1.0000e-05	 3.4073e+04	 1.0414e+01	 3.3389e+04	
 1.2000e+01	 1.0172e+01	 1.0000e-05	 2.6584e+04	 1.0126e+01	 2.5055e+04	
 1.3000e+01	 9.8031e+00	 1.0000e-05	 1.8486e+04	 9.7544e+00	 1.7293e+04	
 1.4000e+01	 9.3576e+00	 1.0000e-05	 1.1903e+04	 9.3372e+00	 1.1413e+04	
 1.5000e+01	 8.8694e+00	 1.0000e-05	 7.3303e+03	 8.8995e+00	 7.3843e+03	
 1.6000e+01	 8.3709e+00	 1.0000e-05	 4.4581e+03	 8.4707e+00	 4.8220e+03	
 1.7000e+01	 7.8926e+00	 1.0000e-05	 2.7621e+03	 8.0725e+00	 3.2475e+03	
 1.8000e+01	 7.4535e+00	 1.0000e-05	 1.7775e+03	 7.7181e+00	 2.2860e+03	
 1.9000e+01	 7.0656e+00	 1.0000e-05	 1.2032e+03	 7.4152e+00	 1.6944e+03	
 2.0000e+01	 6.7348e+00	 1.0000e-05	 8.6228e+02	 7.1656e+00	 1.3249e+03	
 2.1000e+01	 6.4612e+00	 1.0000e-05	 6.5438e+02	 6.9662e+00	 1.0890e+03	
 2.2000e+01	 6.2395e+00	 1.0000e-05	 5.2329e+02	 6.8098e+00	 9.3451e+02	
 2.3000e+01	 6.0617e+00	 1.0000e-05	 4.3741e+02	 6.6883e+00	 8.3008e+02	
 2.4000e+01	 5.9188e+00	 1.0000e-05	 3.7879e+02	 6.5935e+00	 7.5719e+02	
 2.5000e+01	 5.8032e+00	 1.0000e-05	 3.3715e+02	 6.5193e+00	 7.0483e+02	
 2.6000e+01	 5.7086e+00	 1.0000e-05	 3.0653e+02	 6.4606e+00	 6.6621e+02	
 2.7000e+01	 5.6302e+00	 1.0000e-05	 2.8328e+02	 6.4137e+00	 6.3705e+02	
 2.8000e+01	 5.5644e+00	 1.0000e-05	 2.6513e+02	 6.3758e+00	 6.1457e+02	
 2.9000e+01	 5.5084e+00	 1.0000e-05	 2.5060e+02	 6.3449e+00	 5.9695e+02	
 3.0000e+01	 5.4602e+00	 1.0000e-05	 2.3874e+02	 6.3196e+00	 5.8300e+02	
 3.1000e+01	 5.4184e+00	 1.0000e-05	 2.2891e+02	 6.2988e+00	 5.7187e+02	
 3.2000e+01	 5.3818e+00	 1.0000e-05	 2.2062e+02	 6.2817e+00	 5.6295e+02	
 3.3000e+01	 5.3495e+00	 1.0000e-05	 2.1356e+02	 6.2675e+00	 5.5576e+02	
 3.4000e+01	 5.3207e+00	 1.0000e-05	 2.0745e+02	 6.2557e+00	 5.4993e+02	
 3.5000e+01	 5.2948e+00	 1.0000e-05	 2.0211e+02	 6.2458e+00	 5.4519e+02	
 3.6000e+01	 5.2716e+00	 1.0000e-05	 1.9743e+02	 6.2376e+00	 5.4135e+02	
 3.7000e+01	 5.2506e+00	 1.0000e-05	 1.9331e+02	 6.2309e+00	 5.3830e+02	
 3.8000e+01	 5.2316e+00	 1.0000e-05	 1.8965e+02	 6.2253e+00	 5.3589e+02	
 3.9000e+01	 5.2143e+00	 1.0000e-05	 1.8636e+02	 6.2207e+00	 5.3394e+02	
 4.0000e+01	 5.1982e+00	 1.0000e-05	 1.8338e+02	 6.2167e+00	 5.3230e+02	
 4.1000e+01	 5.1834e+00	 1.0000e-05	 1.8067e+02	 6.2133e+00	 5.3097e+02	
 4.2000e+01	 5.1696e+00	 1.0000e-05	 1.7819e+02	 6.2106e+00	 5.2999e+02	
 4.3000e+01	 5.1567e+00	 1.0000e-05	 1.7591e+02	 6.2083e+00	 5.2927e+02	
 4.4000e+01	 5.1447e+00	 1.0000e-05	 1.7380e+02	 6.2066e+00	 5.2879e+02	
 4.5000e+01	 5.1334e+00	 1.0000e-05	 1.7185e+02	 6.2052e+00	 5.2854e+02	
 4.6000e+01	 5.1228e+00	 1.0000e-05	 1.7004e+02	 6.2042e+00	 5.2846e+02	
 4.7000e+01	 5.1128e+00	 1.0000e-05	 1.6834e+02	 6.2035e+00	 5.2848e+02	
 4.8000e+01	 5.1032e+00	 1.0000e-05	 1.6673e+02	 6.2028e+00	 5.2853e+02	
 4.9000e+01	 5.0940e+00	 1.0000e-05	 1.6519e+02	 6.2020e+00	 5.2855e+02	
 5.0000e+01	 5.0850e+00	 1.0000e-05	 1.6371e+02	 6.2013e+00	 5.2854e+02	
 5.1000e+01	 5.0764e+00	 1.0000e-05	 1.6230e+02	 6.2004e+00	 5.2846e+02	
 5.2000e+01	 5.0680e+00	 1.0000e-05	 1.6093e+02	 6.1994e+00	 5.2832e+02	
 5.3000e+01	 5.0593e+00	 1.0000e-05	 1.5955e+02	 6.1974e+00	 5.2762e+02	
 5.4000e+01	 5.0509e+00	 1.0000e-05	 1.5819e+02	 6.1957e+00	 5.2708e+02	
 5.5000e+01	 5.0427e+00	 1.0000e-05	 1.5690e+02	 6.1944e+00	 5.2673e+02	
 5.6000e+01	 5.0347e+00	 1.0000e-05	 1.5566e+02	 6.1935e+00	 5.2665e+02	
 5.7000e+01	 5.0269e+00	 1.0000e-05	 1.5446e+02	 6.1922e+00	 5.2634e+02	
 5.8000e+01	 5.0194e+00	 1.0000e-05	 1.5331e+02	 6.1911e+00	 5.2610e+02	
 5.9000e+01	 5.0121e+00	 1.0000e-05	 1.5219e+02	 6.1899e+00	 5.2580e+02	
 6.0000e+01	 5.0046e+00	 1.0000e-05	 1.5106e+02	 6.1881e+00	 5.2515e+02	
 6.1000e+01	 4.9971e+00	 1.0000e-05	 1.4992e+02	 6.1861e+00	 5.2433e+02	
 6.2000e+01	 4.9898e+00	 1.0000e-05	 1.4884e+02	 6.1845e+00	 5.2383e+02	
