Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0877e+01	 1.0000e-05	 5.3337e+04	 1.0871e+01	 5.2837e+04	
 2.0000e+00	 1.0854e+01	 1.0000e-05	 5.2107e+04	 1.0852e+01	 5.1816e+04	
 3.0000e+00	 1.0833e+01	 1.0000e-05	 5.1007e+04	 1.0833e+01	 5.0805e+04	
 4.0000e+00	 1.0806e+01	 1.0000e-05	 4.9656e+04	 1.0813e+01	 4.9788e+04	
 5.0000e+00	 1.0780e+01	 1.0000e-05	 4.8367e+04	 1.0792e+01	 4.8757e+04	
 6.0000e+00	 1.0749e+01	 1.0000e-05	 4.6911e+04	 1.0770e+01	 4.7702e+04	
 7.0000e+00	 1.0720e+01	 1.0000e-05	 4.5550e+04	 1.0747e+01	 4.6611e+04	
 8.0000e+00	 1.0688e+01	 1.0000e-05	 4.4133e+04	 1.0722e+01	 4.5465e+04	
 9.0000e+00	 1.0656e+01	 1.0000e-05	 4.2712e+04	 1.0695e+01	 4.4247e+04	
 1.0000e+01	 1.0625e+01	 1.0000e-05	 4.1422e+04	 1.0665e+01	 4.2940e+04	
 1.1000e+01	 1.0574e+01	 1.0000e-05	 3.9372e+04	 1.0631e+01	 4.1519e+04	
 1.2000e+01	 1.0541e+01	 1.0000e-05	 3.8100e+04	 1.0593e+01	 3.9949e+04	
 1.3000e+01	 1.0490e+01	 1.0000e-05	 3.6200e+04	 1.0547e+01	 3.8181e+04	
 1.4000e+01	 1.0430e+01	 1.0000e-05	 3.4105e+04	 1.0492e+01	 3.6143e+04	
 1.5000e+01	 1.0351e+01	 1.0000e-05	 3.1533e+04	 1.0423e+01	 3.3752e+04	
 1.6000e+01	 1.0250e+01	 1.0000e-05	 2.8551e+04	 1.0332e+01	 3.0836e+04	
 1.7000e+01	 1.0132e+01	 1.0000e-05	 2.5415e+04	 1.0207e+01	 2.7248e+04	
 1.8000e+01	 9.9597e+00	 1.0000e-05	 2.1456e+04	 1.0029e+01	 2.2826e+04	
 1.9000e+01	 9.7149e+00	 1.0000e-05	 1.6894e+04	 9.7707e+00	 1.7672e+04	
 2.0000e+01	 9.3726e+00	 1.0000e-05	 1.2053e+04	 9.4207e+00	 1.2477e+04	
 2.1000e+01	 8.9359e+00	 1.0000e-05	 7.8278e+03	 9.0062e+00	 8.2607e+03	
 2.2000e+01	 8.4738e+00	 1.0000e-05	 4.9427e+03	 8.5713e+00	 5.3621e+03	
 2.3000e+01	 7.9743e+00	 1.0000e-05	 3.0096e+03	 8.1485e+00	 3.5249e+03	
 2.4000e+01	 7.5170e+00	 1.0000e-05	 1.9012e+03	 7.7606e+00	 2.4000e+03	
 2.5000e+01	 7.1142e+00	 1.0000e-05	 1.2727e+03	 7.4256e+00	 1.7233e+03	
 2.6000e+01	 6.7470e+00	 1.0000e-05	 8.7499e+02	 7.1483e+00	 1.3108e+03	
 2.7000e+01	 6.4549e+00	 1.0000e-05	 6.5292e+02	 6.9283e+00	 1.0555e+03	
 2.8000e+01	 6.1915e+00	 1.0000e-05	 5.0058e+02	 6.7583e+00	 8.9342e+02	
 2.9000e+01	 6.0198e+00	 1.0000e-05	 4.2204e+02	 6.6289e+00	 7.8736e+02	
 3.0000e+01	 5.8715e+00	 1.0000e-05	 3.6349e+02	 6.5313e+00	 7.1612e+02	
 3.1000e+01	 5.7559e+00	 1.0000e-05	 3.2305e+02	 6.4566e+00	 6.6623e+02	
 3.2000e+01	 5.6570e+00	 1.0000e-05	 2.9173e+02	 6.3985e+00	 6.3010e+02	
 3.3000e+01	 5.5963e+00	 1.0000e-05	 2.7636e+02	 6.3528e+00	 6.0324e+02	
 3.4000e+01	 5.5339e+00	 1.0000e-05	 2.5892e+02	 6.3163e+00	 5.8270e+02	
 3.5000e+01	 5.4653e+00	 1.0000e-05	 2.4150e+02	 6.2861e+00	 5.6639e+02	
 3.6000e+01	 5.4438e+00	 1.0000e-05	 2.3606e+02	 6.2611e+00	 5.5327e+02	
 3.7000e+01	 5.3878e+00	 1.0000e-05	 2.2327e+02	 6.2399e+00	 5.4248e+02	
 3.8000e+01	 5.3458e+00	 1.0000e-05	 2.1384e+02	 6.2217e+00	 5.3348e+02	
 3.9000e+01	 5.3389e+00	 1.0000e-05	 2.1297e+02	 6.2056e+00	 5.2571e+02	
 4.0000e+01	 5.3009e+00	 1.0000e-05	 2.0470e+02	 6.1912e+00	 5.1895e+02	
 4.1000e+01	 5.2435e+00	 1.0000e-05	 1.9303e+02	 6.1787e+00	 5.1316e+02	
 4.2000e+01	 5.2530e+00	 1.0000e-05	 1.9484e+02	 6.1673e+00	 5.0801e+02	
 4.3000e+01	 5.2298e+00	 1.0000e-05	 1.9007e+02	 6.1571e+00	 5.0347e+02	
 4.4000e+01	 5.1863e+00	 1.0000e-05	 1.8220e+02	 6.1484e+00	 4.9967e+02	
 4.5000e+01	 5.1624e+00	 1.0000e-05	 1.7786e+02	 6.1403e+00	 4.9621e+02	
 4.6000e+01	 5.1643e+00	 1.0000e-05	 1.7872e+02	 6.1326e+00	 4.9295e+02	
 4.7000e+01	 5.1231e+00	 1.0000e-05	 1.7165e+02	 6.1258e+00	 4.9010e+02	
 4.8000e+01	 5.1234e+00	 1.0000e-05	 1.7116e+02	 6.1196e+00	 4.8757e+02	
 4.9000e+01	 5.1096e+00	 1.0000e-05	 1.6886e+02	 6.1139e+00	 4.8528e+02	
 5.0000e+01	 5.1044e+00	 1.0000e-05	 1.6775e+02	 6.1082e+00	 4.8302e+02	
 5.1000e+01	 5.0694e+00	 1.0000e-05	 1.6233e+02	 6.1025e+00	 4.8070e+02	
 5.2000e+01	 5.0488e+00	 1.0000e-05	 1.5907e+02	 6.0971e+00	 4.7853e+02	
 5.3000e+01	 5.0654e+00	 1.0000e-05	 1.6126e+02	 6.0916e+00	 4.7631e+02	
 5.4000e+01	 5.0445e+00	 1.0000e-05	 1.5838e+02	 6.0864e+00	 4.7425e+02	
 5.5000e+01	 5.0260e+00	 1.0000e-05	 1.5547e+02	 6.0821e+00	 4.7265e+02	
 5.6000e+01	 5.0069e+00	 1.0000e-05	 1.5240e+02	 6.0780e+00	 4.7114e+02	
 5.7000e+01	 5.0028e+00	 1.0000e-05	 1.5176e+02	 6.0734e+00	 4.6931e+02	
 5.8000e+01	 4.9958e+00	 1.0000e-05	 1.5055e+02	 6.0685e+00	 4.6737e+02	
 5.9000e+01	 4.9731e+00	 1.0000e-05	 1.4778e+02	 6.0646e+00	 4.6587e+02	
 6.0000e+01	 4.9718e+00	 1.0000e-05	 1.4741e+02	 6.0604e+00	 4.6424e+02	
 6.1000e+01	 4.9543e+00	 1.0000e-05	 1.4387e+02	 6.0559e+00	 4.6250e+02	
 6.2000e+01	 4.9511e+00	 1.0000e-05	 1.4390e+02	 6.0518e+00	 4.6091e+02	
 6.3000e+01	 4.9276e+00	 1.0000e-05	 1.4083e+02	 6.0477e+00	 4.5936e+02	
 6.4000e+01	 4.9357e+00	 1.0000e-05	 1.4200e+02	 6.0432e+00	 4.5762e+02	
 6.5000e+01	 4.9281e+00	 1.0000e-05	 1.4071e+02	 6.0388e+00	 4.5591e+02	
 6.6000e+01	 4.8896e+00	 1.0000e-05	 1.3557e+02	 6.0350e+00	 4.5452e+02	
 6.7000e+01	 4.8915e+00	 1.0000e-05	 1.3575e+02	 6.0307e+00	 4.5286e+02	
 6.8000e+01	 4.8774e+00	 1.0000e-05	 1.3388e+02	 6.0261e+00	 4.5111e+02	
 6.9000e+01	 4.8763e+00	 1.0000e-05	 1.3387e+02	 6.0220e+00	 4.4957e+02	
 7.0000e+01	 4.8691e+00	 1.0000e-05	 1.3286e+02	 6.0178e+00	 4.4795e+02	
 7.1000e+01	 4.8526e+00	 1.0000e-05	 1.3068e+02	 6.0137e+00	 4.4640e+02	
 7.2000e+01	 4.8290e+00	 1.0000e-05	 1.2753e+02	 6.0104e+00	 4.4514e+02	
 7.3000e+01	 4.8241e+00	 1.0000e-05	 1.2718e+02	 6.0070e+00	 4.4393e+02	
 7.4000e+01	 4.8257e+00	 1.0000e-05	 1.2692e+02	 6.0034e+00	 4.4258e+02	
 7.5000e+01	 4.8019e+00	 1.0000e-05	 1.2420e+02	 5.9998e+00	 4.4124e+02	
 7.6000e+01	 4.8171e+00	 1.0000e-05	 1.2596e+02	 5.9962e+00	 4.3993e+02	
 7.7000e+01	 4.8126e+00	 1.0000e-05	 1.2568e+02	 5.9927e+00	 4.3862e+02	
 7.8000e+01	 4.7970e+00	 1.0000e-05	 1.2379e+02	 5.9895e+00	 4.3754e+02	
 7.9000e+01	 4.7828e+00	 1.0000e-05	 1.2159e+02	 5.9860e+00	 4.3621e+02	
 8.0000e+01	 4.7635e+00	 1.0000e-05	 1.1951e+02	 5.9824e+00	 4.3486e+02	
 8.1000e+01	 4.7486e+00	 1.0000e-05	 1.1756e+02	 5.9789e+00	 4.3355e+02	
 8.2000e+01	 4.7601e+00	 1.0000e-05	 1.1903e+02	 5.9752e+00	 4.3222e+02	
 8.3000e+01	 4.7325e+00	 1.0000e-05	 1.1566e+02	 5.9712e+00	 4.3068e+02	
 8.4000e+01	 4.7313e+00	 1.0000e-05	 1.1585e+02	 5.9675e+00	 4.2935e+02	
 8.5000e+01	 4.7320e+00	 1.0000e-05	 1.1599e+02	 5.9640e+00	 4.2807e+02	
 8.6000e+01	 4.7140e+00	 1.0000e-05	 1.1386e+02	 5.9608e+00	 4.2693e+02	
 8.7000e+01	 4.7270e+00	 1.0000e-05	 1.1556e+02	 5.9570e+00	 4.2557e+02	
 8.8000e+01	 4.6917e+00	 1.0000e-05	 1.1132e+02	 5.9537e+00	 4.2441e+02	
 8.9000e+01	 4.6975e+00	 1.0000e-05	 1.1185e+02	 5.9502e+00	 4.2312e+02	
 9.0000e+01	 4.6751e+00	 1.0000e-05	 1.0916e+02	 5.9463e+00	 4.2167e+02	
 9.1000e+01	 4.6745e+00	 1.0000e-05	 1.0936e+02	 5.9430e+00	 4.2050e+02	
 9.2000e+01	 4.6667e+00	 1.0000e-05	 1.0863e+02	 5.9398e+00	 4.1939e+02	
 9.3000e+01	 4.6664e+00	 1.0000e-05	 1.0871e+02	 5.9372e+00	 4.1856e+02	
 9.4000e+01	 4.6533e+00	 1.0000e-05	 1.0710e+02	 5.9339e+00	 4.1742e+02	
 9.5000e+01	 4.6437e+00	 1.0000e-05	 1.0639e+02	 5.9306e+00	 4.1624e+02	
 9.6000e+01	 4.6306e+00	 1.0000e-05	 1.0421e+02	 5.9268e+00	 4.1486e+02	
 9.7000e+01	 4.6254e+00	 1.0000e-05	 1.0427e+02	 5.9237e+00	 4.1380e+02	
 9.8000e+01	 4.6302e+00	 1.0000e-05	 1.0473e+02	 5.9193e+00	 4.1215e+02	
 9.9000e+01	 4.6123e+00	 1.0000e-05	 1.0274e+02	 5.9157e+00	 4.1089e+02	
 1.0000e+02	 4.5993e+00	 1.0000e-05	 1.0170e+02	 5.9132e+00	 4.1007e+02	
 1.0100e+02	 4.5870e+00	 1.0000e-05	 1.0003e+02	 5.9098e+00	 4.0885e+02	
 1.0200e+02	 4.5904e+00	 1.0000e-05	 1.0034e+02	 5.9062e+00	 4.0758e+02	
