Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0893e+01	 1.0000e-05	 5.4195e+04	 1.0880e+01	 5.3244e+04	
 2.0000e+00	 1.0882e+01	 1.0000e-05	 5.3584e+04	 1.0867e+01	 5.2561e+04	
 3.0000e+00	 1.0862e+01	 1.0000e-05	 5.2530e+04	 1.0854e+01	 5.1886e+04	
 4.0000e+00	 1.0853e+01	 1.0000e-05	 5.2086e+04	 1.0841e+01	 5.1210e+04	
 5.0000e+00	 1.0844e+01	 1.0000e-05	 5.1616e+04	 1.0828e+01	 5.0526e+04	
 6.0000e+00	 1.0821e+01	 1.0000e-05	 5.0443e+04	 1.0814e+01	 4.9834e+04	
 7.0000e+00	 1.0810e+01	 1.0000e-05	 4.9858e+04	 1.0800e+01	 4.9131e+04	
 8.0000e+00	 1.0800e+01	 1.0000e-05	 4.9399e+04	 1.0785e+01	 4.8421e+04	
 9.0000e+00	 1.0780e+01	 1.0000e-05	 4.8403e+04	 1.0770e+01	 4.7699e+04	
 1.0000e+01	 1.0767e+01	 1.0000e-05	 4.7823e+04	 1.0754e+01	 4.6944e+04	
 1.1000e+01	 1.0757e+01	 1.0000e-05	 4.7316e+04	 1.0738e+01	 4.6168e+04	
 1.2000e+01	 1.0735e+01	 1.0000e-05	 4.6297e+04	 1.0720e+01	 4.5365e+04	
 1.3000e+01	 1.0722e+01	 1.0000e-05	 4.5697e+04	 1.0702e+01	 4.4531e+04	
 1.4000e+01	 1.0695e+01	 1.0000e-05	 4.4483e+04	 1.0682e+01	 4.3641e+04	
 1.5000e+01	 1.0693e+01	 1.0000e-05	 4.4415e+04	 1.0660e+01	 4.2705e+04	
 1.6000e+01	 1.0670e+01	 1.0000e-05	 4.3408e+04	 1.0636e+01	 4.1711e+04	
 1.7000e+01	 1.0649e+01	 1.0000e-05	 4.2510e+04	 1.0610e+01	 4.0647e+04	
 1.8000e+01	 1.0617e+01	 1.0000e-05	 4.1136e+04	 1.0582e+01	 3.9495e+04	
 1.9000e+01	 1.0593e+01	 1.0000e-05	 4.0105e+04	 1.0550e+01	 3.8260e+04	
 2.0000e+01	 1.0557e+01	 1.0000e-05	 3.8753e+04	 1.0513e+01	 3.6895e+04	
 2.1000e+01	 1.0528e+01	 1.0000e-05	 3.7602e+04	 1.0471e+01	 3.5374e+04	
 2.2000e+01	 1.0485e+01	 1.0000e-05	 3.6106e+04	 1.0421e+01	 3.3667e+04	
 2.3000e+01	 1.0434e+01	 1.0000e-05	 3.4287e+04	 1.0361e+01	 3.1716e+04	
 2.4000e+01	 1.0381e+01	 1.0000e-05	 3.2550e+04	 1.0287e+01	 2.9473e+04	
 2.5000e+01	 1.0319e+01	 1.0000e-05	 3.0585e+04	 1.0194e+01	 2.6881e+04	
 2.6000e+01	 1.0232e+01	 1.0000e-05	 2.8060e+04	 1.0074e+01	 2.3840e+04	
 2.7000e+01	 1.0119e+01	 1.0000e-05	 2.5163e+04	 9.9103e+00	 2.0270e+04	
 2.8000e+01	 9.9545e+00	 1.0000e-05	 2.1417e+04	 9.6889e+00	 1.6260e+04	
 2.9000e+01	 9.7184e+00	 1.0000e-05	 1.7012e+04	 9.3932e+00	 1.2109e+04	
 3.0000e+01	 9.3626e+00	 1.0000e-05	 1.2050e+04	 9.0251e+00	 8.3914e+03	
 3.1000e+01	 8.9194e+00	 1.0000e-05	 7.8058e+03	 8.6098e+00	 5.5515e+03	
 3.2000e+01	 8.3941e+00	 1.0000e-05	 4.6190e+03	 8.1811e+00	 3.6281e+03	
 3.3000e+01	 7.8692e+00	 1.0000e-05	 2.7398e+03	 7.7704e+00	 2.4157e+03	
 3.4000e+01	 7.3744e+00	 1.0000e-05	 1.6642e+03	 7.4046e+00	 1.6832e+03	
 3.5000e+01	 6.9601e+00	 1.0000e-05	 1.0950e+03	 7.1015e+00	 1.2490e+03	
 3.6000e+01	 6.5712e+00	 1.0000e-05	 7.3709e+02	 6.8643e+00	 9.8979e+02	
 3.7000e+01	 6.3074e+00	 1.0000e-05	 5.7133e+02	 6.6890e+00	 8.3426e+02	
 3.8000e+01	 6.0889e+00	 1.0000e-05	 4.5493e+02	 6.5632e+00	 7.3863e+02	
 3.9000e+01	 5.9092e+00	 1.0000e-05	 3.8013e+02	 6.4733e+00	 6.7752e+02	
 4.0000e+01	 5.7961e+00	 1.0000e-05	 3.4158e+02	 6.4091e+00	 6.3741e+02	
 4.1000e+01	 5.6914e+00	 1.0000e-05	 3.0453e+02	 6.3617e+00	 6.0964e+02	
 4.2000e+01	 5.5975e+00	 1.0000e-05	 2.7756e+02	 6.3264e+00	 5.8994e+02	
 4.3000e+01	 5.5418e+00	 1.0000e-05	 2.6287e+02	 6.2990e+00	 5.7534e+02	
 4.4000e+01	 5.4853e+00	 1.0000e-05	 2.4702e+02	 6.2774e+00	 5.6421e+02	
 4.5000e+01	 5.4516e+00	 1.0000e-05	 2.4107e+02	 6.2604e+00	 5.5579e+02	
 4.6000e+01	 5.4230e+00	 1.0000e-05	 2.3309e+02	 6.2463e+00	 5.4897e+02	
 4.7000e+01	 5.3813e+00	 1.0000e-05	 2.2278e+02	 6.2349e+00	 5.4363e+02	
 4.8000e+01	 5.3363e+00	 1.0000e-05	 2.1475e+02	 6.2253e+00	 5.3929e+02	
 4.9000e+01	 5.3258e+00	 1.0000e-05	 2.1147e+02	 6.2166e+00	 5.3539e+02	
 5.0000e+01	 5.3023e+00	 1.0000e-05	 2.0545e+02	 6.2087e+00	 5.3192e+02	
 5.1000e+01	 5.2684e+00	 1.0000e-05	 1.9931e+02	 6.2021e+00	 5.2910e+02	
 5.2000e+01	 5.2335e+00	 1.0000e-05	 1.9180e+02	 6.1968e+00	 5.2695e+02	
 5.3000e+01	 5.2280e+00	 1.0000e-05	 1.9095e+02	 6.1924e+00	 5.2529e+02	
 5.4000e+01	 5.2107e+00	 1.0000e-05	 1.8821e+02	 6.1886e+00	 5.2394e+02	
 5.5000e+01	 5.2057e+00	 1.0000e-05	 1.8728e+02	 6.1855e+00	 5.2290e+02	
 5.6000e+01	 5.1969e+00	 1.0000e-05	 1.8423e+02	 6.1826e+00	 5.2187e+02	
 5.7000e+01	 5.1614e+00	 1.0000e-05	 1.7909e+02	 6.1802e+00	 5.2113e+02	
 5.8000e+01	 5.1594e+00	 1.0000e-05	 1.7821e+02	 6.1781e+00	 5.2058e+02	
 5.9000e+01	 5.1495e+00	 1.0000e-05	 1.7650e+02	 6.1761e+00	 5.2003e+02	
 6.0000e+01	 5.1310e+00	 1.0000e-05	 1.7256e+02	 6.1746e+00	 5.1972e+02	
 6.1000e+01	 5.1308e+00	 1.0000e-05	 1.7302e+02	 6.1724e+00	 5.1902e+02	
 6.2000e+01	 5.1115e+00	 1.0000e-05	 1.7010e+02	 6.1707e+00	 5.1856e+02	
 6.3000e+01	 5.0981e+00	 1.0000e-05	 1.6739e+02	 6.1685e+00	 5.1786e+02	
 6.4000e+01	 5.0959e+00	 1.0000e-05	 1.6652e+02	 6.1662e+00	 5.1709e+02	
 6.5000e+01	 5.0910e+00	 1.0000e-05	 1.6668e+02	 6.1635e+00	 5.1611e+02	
 6.6000e+01	 5.0713e+00	 1.0000e-05	 1.6384e+02	 6.1621e+00	 5.1576e+02	
 6.7000e+01	 5.0475e+00	 1.0000e-05	 1.5892e+02	 6.1604e+00	 5.1524e+02	
 6.8000e+01	 5.0542e+00	 1.0000e-05	 1.6056e+02	 6.1583e+00	 5.1457e+02	
 6.9000e+01	 5.0419e+00	 1.0000e-05	 1.5823e+02	 6.1564e+00	 5.1398e+02	
 7.0000e+01	 5.0452e+00	 1.0000e-05	 1.5845e+02	 6.1548e+00	 5.1354e+02	
 7.1000e+01	 5.0254e+00	 1.0000e-05	 1.5556e+02	 6.1530e+00	 5.1297e+02	
 7.2000e+01	 5.0109e+00	 1.0000e-05	 1.5343e+02	 6.1516e+00	 5.1264e+02	
 7.3000e+01	 4.9960e+00	 1.0000e-05	 1.5163e+02	 6.1495e+00	 5.1187e+02	
 7.4000e+01	 5.0131e+00	 1.0000e-05	 1.5339e+02	 6.1477e+00	 5.1122e+02	
 7.5000e+01	 4.9989e+00	 1.0000e-05	 1.5130e+02	 6.1455e+00	 5.1043e+02	
 7.6000e+01	 4.9844e+00	 1.0000e-05	 1.4920e+02	 6.1436e+00	 5.0978e+02	
 7.7000e+01	 4.9758e+00	 1.0000e-05	 1.4828e+02	 6.1420e+00	 5.0927e+02	
 7.8000e+01	 4.9710e+00	 1.0000e-05	 1.4735e+02	 6.1407e+00	 5.0894e+02	
 7.9000e+01	 4.9750e+00	 1.0000e-05	 1.4799e+02	 6.1396e+00	 5.0871e+02	
 8.0000e+01	 4.9612e+00	 1.0000e-05	 1.4636e+02	 6.1382e+00	 5.0827e+02	
 8.1000e+01	 4.9600e+00	 1.0000e-05	 1.4561e+02	 6.1362e+00	 5.0756e+02	
 8.2000e+01	 4.9528e+00	 1.0000e-05	 1.4460e+02	 6.1344e+00	 5.0697e+02	
 8.3000e+01	 4.9405e+00	 1.0000e-05	 1.4314e+02	 6.1332e+00	 5.0666e+02	
 8.4000e+01	 4.9420e+00	 1.0000e-05	 1.4300e+02	 6.1316e+00	 5.0617e+02	
 8.5000e+01	 4.9338e+00	 1.0000e-05	 1.4219e+02	 6.1300e+00	 5.0565e+02	
 8.6000e+01	 4.9118e+00	 1.0000e-05	 1.3852e+02	 6.1276e+00	 5.0466e+02	
 8.7000e+01	 4.9160e+00	 1.0000e-05	 1.3938e+02	 6.1254e+00	 5.0383e+02	
 8.8000e+01	 4.9071e+00	 1.0000e-05	 1.3867e+02	 6.1237e+00	 5.0329e+02	
 8.9000e+01	 4.9172e+00	 1.0000e-05	 1.3960e+02	 6.1218e+00	 5.0256e+02	
 9.0000e+01	 4.9084e+00	 1.0000e-05	 1.3828e+02	 6.1196e+00	 5.0171e+02	
 9.1000e+01	 4.9064e+00	 1.0000e-05	 1.3828e+02	 6.1177e+00	 5.0100e+02	
 9.2000e+01	 4.8987e+00	 1.0000e-05	 1.3671e+02	 6.1157e+00	 5.0023e+02	
 9.3000e+01	 4.8916e+00	 1.0000e-05	 1.3631e+02	 6.1132e+00	 4.9924e+02	
 9.4000e+01	 4.8614e+00	 1.0000e-05	 1.3196e+02	 6.1113e+00	 4.9849e+02	
 9.5000e+01	 4.8744e+00	 1.0000e-05	 1.3346e+02	 6.1091e+00	 4.9761e+02	
 9.6000e+01	 4.8561e+00	 1.0000e-05	 1.3164e+02	 6.1071e+00	 4.9687e+02	
 9.7000e+01	 4.8536e+00	 1.0000e-05	 1.3110e+02	 6.1048e+00	 4.9593e+02	
 9.8000e+01	 4.8384e+00	 1.0000e-05	 1.2917e+02	 6.1023e+00	 4.9492e+02	
 9.9000e+01	 4.8341e+00	 1.0000e-05	 1.2886e+02	 6.1005e+00	 4.9424e+02	
 1.0000e+02	 4.8348e+00	 1.0000e-05	 1.2847e+02	 6.0984e+00	 4.9351e+02	
 1.0100e+02	 4.8336e+00	 1.0000e-05	 1.2781e+02	 6.0956e+00	 4.9229e+02	
 1.0200e+02	 4.8370e+00	 1.0000e-05	 1.2881e+02	 6.0926e+00	 4.9105e+02	
 1.0300e+02	 4.8177e+00	 1.0000e-05	 1.2613e+02	 6.0900e+00	 4.8995e+02	
 1.0400e+02	 4.8132e+00	 1.0000e-05	 1.2564e+02	 6.0880e+00	 4.8922e+02	
 1.0500e+02	 4.8105e+00	 1.0000e-05	 1.2553e+02	 6.0865e+00	 4.8873e+02	
 1.0600e+02	 4.7920e+00	 1.0000e-05	 1.2353e+02	 6.0848e+00	 4.8816e+02	
 1.0700e+02	 4.7789e+00	 1.0000e-05	 1.2148e+02	 6.0824e+00	 4.8719e+02	
 1.0800e+02	 4.7803e+00	 1.0000e-05	 1.2149e+02	 6.0808e+00	 4.8660e+02	
 1.0900e+02	 4.7847e+00	 1.0000e-05	 1.2180e+02	 6.0790e+00	 4.8600e+02	
