Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 9.3335e+00	 1.0000e-05	 1.1372e+04	 9.3294e+00	 1.1289e+04	
 2.0000e+00	 9.3236e+00	 1.0000e-05	 1.1261e+04	 9.3193e+00	 1.1174e+04	
 3.0000e+00	 9.3071e+00	 1.0000e-05	 1.1075e+04	 9.3088e+00	 1.1057e+04	
 4.0000e+00	 9.2985e+00	 1.0000e-05	 1.0979e+04	 9.2982e+00	 1.0939e+04	
 5.0000e+00	 9.2865e+00	 1.0000e-05	 1.0848e+04	 9.2870e+00	 1.0818e+04	
 6.0000e+00	 9.2782e+00	 1.0000e-05	 1.0760e+04	 9.2753e+00	 1.0690e+04	
 7.0000e+00	 9.2661e+00	 1.0000e-05	 1.0628e+04	 9.2627e+00	 1.0556e+04	
 8.0000e+00	 9.2554e+00	 1.0000e-05	 1.0517e+04	 9.2493e+00	 1.0415e+04	
 9.0000e+00	 9.2411e+00	 1.0000e-05	 1.0369e+04	 9.2346e+00	 1.0262e+04	
 1.0000e+01	 9.2224e+00	 1.0000e-05	 1.0174e+04	 9.2178e+00	 1.0091e+04	
 1.1000e+01	 9.2029e+00	 1.0000e-05	 9.9775e+03	 9.1984e+00	 9.8974e+03	
 1.2000e+01	 9.1863e+00	 1.0000e-05	 9.8184e+03	 9.1755e+00	 9.6722e+03	
 1.3000e+01	 9.1699e+00	 1.0000e-05	 9.6549e+03	 9.1474e+00	 9.4042e+03	
 1.4000e+01	 9.1318e+00	 1.0000e-05	 9.2952e+03	 9.1107e+00	 9.0654e+03	
 1.5000e+01	 9.1012e+00	 1.0000e-05	 9.0171e+03	 9.0607e+00	 8.6240e+03	
 1.6000e+01	 9.0441e+00	 1.0000e-05	 8.5213e+03	 8.9862e+00	 8.0049e+03	
 1.7000e+01	 8.9769e+00	 1.0000e-05	 7.9729e+03	 8.8681e+00	 7.1150e+03	
 1.8000e+01	 8.8483e+00	 1.0000e-05	 7.0217e+03	 8.6754e+00	 5.8696e+03	
 1.9000e+01	 8.6258e+00	 1.0000e-05	 5.6483e+03	 8.3986e+00	 4.4525e+03	
 2.0000e+01	 8.2826e+00	 1.0000e-05	 4.0374e+03	 8.0603e+00	 3.1775e+03	
 2.1000e+01	 7.8810e+00	 1.0000e-05	 2.7051e+03	 7.6928e+00	 2.2036e+03	
 2.2000e+01	 7.4468e+00	 1.0000e-05	 1.7537e+03	 7.3315e+00	 1.5387e+03	
 2.3000e+01	 7.0394e+00	 1.0000e-05	 1.1650e+03	 7.0100e+00	 1.1185e+03	
 2.4000e+01	 6.6576e+00	 1.0000e-05	 7.9401e+02	 6.7474e+00	 8.6275e+02	
 2.5000e+01	 6.3756e+00	 1.0000e-05	 5.9743e+02	 6.5478e+00	 7.0873e+02	
 2.6000e+01	 6.1466e+00	 1.0000e-05	 4.7420e+02	 6.4023e+00	 6.1456e+02	
 2.7000e+01	 5.9723e+00	 1.0000e-05	 3.9775e+02	 6.2979e+00	 5.5519e+02	
 2.8000e+01	 5.8316e+00	 1.0000e-05	 3.4533e+02	 6.2225e+00	 5.1613e+02	
 2.9000e+01	 5.7371e+00	 1.0000e-05	 3.1481e+02	 6.1671e+00	 4.8945e+02	
 3.0000e+01	 5.6476e+00	 1.0000e-05	 2.8732e+02	 6.1253e+00	 4.7038e+02	
 3.1000e+01	 5.5898e+00	 1.0000e-05	 2.7247e+02	 6.0930e+00	 4.5632e+02	
 3.2000e+01	 5.5379e+00	 1.0000e-05	 2.5691e+02	 6.0680e+00	 4.4580e+02	
 3.3000e+01	 5.4948e+00	 1.0000e-05	 2.4639e+02	 6.0481e+00	 4.3774e+02	
 3.4000e+01	 5.4413e+00	 1.0000e-05	 2.3399e+02	 6.0323e+00	 4.3154e+02	
 3.5000e+01	 5.4154e+00	 1.0000e-05	 2.2775e+02	 6.0197e+00	 4.2677e+02	
 3.6000e+01	 5.3838e+00	 1.0000e-05	 2.2115e+02	 6.0095e+00	 4.2300e+02	
 3.7000e+01	 5.3607e+00	 1.0000e-05	 2.1568e+02	 6.0009e+00	 4.1994e+02	
 3.8000e+01	 5.3281e+00	 1.0000e-05	 2.0878e+02	 5.9937e+00	 4.1747e+02	
 3.9000e+01	 5.3240e+00	 1.0000e-05	 2.0789e+02	 5.9882e+00	 4.1566e+02	
 4.0000e+01	 5.2823e+00	 1.0000e-05	 1.9961e+02	 5.9838e+00	 4.1429e+02	
 4.1000e+01	 5.2749e+00	 1.0000e-05	 1.9782e+02	 5.9799e+00	 4.1310e+02	
 4.2000e+01	 5.2505e+00	 1.0000e-05	 1.9305e+02	 5.9764e+00	 4.1209e+02	
 4.3000e+01	 5.2308e+00	 1.0000e-05	 1.8889e+02	 5.9739e+00	 4.1149e+02	
 4.4000e+01	 5.2187e+00	 1.0000e-05	 1.8745e+02	 5.9714e+00	 4.1087e+02	
 4.5000e+01	 5.2044e+00	 1.0000e-05	 1.8422e+02	 5.9695e+00	 4.1046e+02	
 4.6000e+01	 5.1976e+00	 1.0000e-05	 1.8329e+02	 5.9677e+00	 4.1010e+02	
 4.7000e+01	 5.1869e+00	 1.0000e-05	 1.8194e+02	 5.9665e+00	 4.0996e+02	
 4.8000e+01	 5.1466e+00	 1.0000e-05	 1.7394e+02	 5.9656e+00	 4.0989e+02	
 4.9000e+01	 5.1681e+00	 1.0000e-05	 1.7808e+02	 5.9651e+00	 4.1004e+02	
 5.0000e+01	 5.1370e+00	 1.0000e-05	 1.7262e+02	 5.9644e+00	 4.1008e+02	
 5.1000e+01	 5.1369e+00	 1.0000e-05	 1.7271e+02	 5.9644e+00	 4.1044e+02	
 5.2000e+01	 5.1327e+00	 1.0000e-05	 1.7214e+02	 5.9640e+00	 4.1052e+02	
 5.3000e+01	 5.1179e+00	 1.0000e-05	 1.6905e+02	 5.9629e+00	 4.1037e+02	
 5.4000e+01	 5.1280e+00	 1.0000e-05	 1.7132e+02	 5.9623e+00	 4.1040e+02	
 5.5000e+01	 5.1168e+00	 1.0000e-05	 1.6886e+02	 5.9627e+00	 4.1083e+02	
 5.6000e+01	 5.1106e+00	 1.0000e-05	 1.6826e+02	 5.9628e+00	 4.1117e+02	
