Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0886e+01	 1.0000e-05	 5.3827e+04	 1.0878e+01	 5.3193e+04	
 2.0000e+00	 1.0877e+01	 1.0000e-05	 5.3321e+04	 1.0869e+01	 5.2686e+04	
 3.0000e+00	 1.0862e+01	 1.0000e-05	 5.2541e+04	 1.0859e+01	 5.2179e+04	
 4.0000e+00	 1.0853e+01	 1.0000e-05	 5.2076e+04	 1.0850e+01	 5.1671e+04	
 5.0000e+00	 1.0847e+01	 1.0000e-05	 5.1762e+04	 1.0840e+01	 5.1155e+04	
 6.0000e+00	 1.0834e+01	 1.0000e-05	 5.1045e+04	 1.0829e+01	 5.0629e+04	
 7.0000e+00	 1.0823e+01	 1.0000e-05	 5.0510e+04	 1.0818e+01	 5.0081e+04	
 8.0000e+00	 1.0810e+01	 1.0000e-05	 4.9855e+04	 1.0807e+01	 4.9496e+04	
 9.0000e+00	 1.0793e+01	 1.0000e-05	 4.9050e+04	 1.0794e+01	 4.8876e+04	
 1.0000e+01	 1.0786e+01	 1.0000e-05	 4.8698e+04	 1.0781e+01	 4.8215e+04	
 1.1000e+01	 1.0774e+01	 1.0000e-05	 4.8110e+04	 1.0766e+01	 4.7491e+04	
 1.2000e+01	 1.0757e+01	 1.0000e-05	 4.7340e+04	 1.0748e+01	 4.6680e+04	
 1.3000e+01	 1.0745e+01	 1.0000e-05	 4.6737e+04	 1.0728e+01	 4.5754e+04	
 1.4000e+01	 1.0721e+01	 1.0000e-05	 4.5658e+04	 1.0704e+01	 4.4668e+04	
 1.5000e+01	 1.0686e+01	 1.0000e-05	 4.4065e+04	 1.0673e+01	 4.3311e+04	
 1.6000e+01	 1.0663e+01	 1.0000e-05	 4.3079e+04	 1.0633e+01	 4.1609e+04	
 1.7000e+01	 1.0626e+01	 1.0000e-05	 4.1496e+04	 1.0577e+01	 3.9352e+04	
 1.8000e+01	 1.0571e+01	 1.0000e-05	 3.9303e+04	 1.0494e+01	 3.6219e+04	
 1.9000e+01	 1.0482e+01	 1.0000e-05	 3.5995e+04	 1.0359e+01	 3.1636e+04	
 2.0000e+01	 1.0340e+01	 1.0000e-05	 3.1317e+04	 1.0141e+01	 2.5451e+04	
 2.1000e+01	 1.0080e+01	 1.0000e-05	 2.4305e+04	 9.8268e+00	 1.8601e+04	
