Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	Euclid Mean	Euclid StdDev	Cosine Mean	Cosine StdDev	Euclid(k) Mean	Euclid(k) StdDev	Cosine(k) Mean	Cosine(k) StdDev	
 1.0000e+00	 6.3098e+00	 1.0000e-05	 1.4547e+03	 5.2636e+00	 1.9842e+02	 2.1557e+01	 3.4692e+00	 4.3063e-01	 1.9062e-01	 1.9809e+01	 7.0711e+00	 7.7116e-03	 4.2220e-02	
 2.0000e+00	 5.1573e+00	 1.0000e-05	 1.8443e+02	 5.0156e+00	 1.5667e+02	 2.3819e+01	 7.1208e-01	 5.8850e-01	 4.1572e-02	 2.6271e+01	 1.2414e+00	 2.0191e-02	 4.4302e-02	
 3.0000e+00	 4.9363e+00	 1.0000e-05	 1.4995e+02	 4.8429e+00	 1.3362e+02	 2.4161e+01	 6.8871e-01	 5.9204e-01	 3.3092e-02	 2.6758e+01	 9.5334e-01	 2.4553e-02	 4.6266e-02	
 4.0000e+00	 4.7682e+00	 1.0000e-05	 1.2840e+02	 4.7062e+00	 1.1808e+02	 2.4164e+01	 7.7176e-01	 5.9253e-01	 2.9668e-02	 2.6790e+01	 8.1947e-01	 3.0068e-02	 4.4549e-02	
 5.0000e+00	 4.6329e+00	 1.0000e-05	 1.1345e+02	 4.5927e+00	 1.0670e+02	 2.4075e+01	 5.9854e-01	 5.9158e-01	 2.8765e-02	 2.6646e+01	 8.1688e-01	 3.2444e-02	 4.2572e-02	
 6.0000e+00	 4.5154e+00	 1.0000e-05	 1.0174e+02	 4.4973e+00	 9.8133e+01	 2.3997e+01	 7.2029e-01	 5.9131e-01	 2.9311e-02	 2.6553e+01	 8.2668e-01	 3.2108e-02	 3.9733e-02	
 7.0000e+00	 4.4151e+00	 1.0000e-05	 9.2681e+01	 4.4158e+00	 9.1373e+01	 2.3962e+01	 6.2854e-01	 5.9231e-01	 2.9798e-02	 2.6536e+01	 8.2035e-01	 3.7236e-02	 3.8257e-02	
 8.0000e+00	 4.3256e+00	 1.0000e-05	 8.5193e+01	 4.3445e+00	 8.5849e+01	 2.3854e+01	 7.5677e-01	 5.9149e-01	 2.9451e-02	 2.6398e+01	 8.4013e-01	 4.1299e-02	 3.7506e-02	
 9.0000e+00	 4.2475e+00	 1.0000e-05	 7.9117e+01	 4.2806e+00	 8.1213e+01	 2.3777e+01	 5.9152e-01	 5.8945e-01	 3.2606e-02	 2.6236e+01	 8.7911e-01	 4.0045e-02	 3.6812e-02	
 1.0000e+01	 4.1772e+00	 1.0000e-05	 7.4014e+01	 4.2244e+00	 7.7366e+01	 2.3658e+01	 5.9050e-01	 5.8989e-01	 2.9688e-02	 2.6130e+01	 7.9585e-01	 3.8544e-02	 3.6482e-02	
 1.1000e+01	 4.1137e+00	 1.0000e-05	 6.9689e+01	 4.1718e+00	 7.3837e+01	 2.3621e+01	 5.9024e-01	 5.8825e-01	 3.1015e-02	 2.6036e+01	 8.1870e-01	 4.0762e-02	 3.7625e-02	
 1.2000e+01	 4.0551e+00	 1.0000e-05	 6.5889e+01	 4.1218e+00	 7.0565e+01	 2.3581e+01	 7.1671e-01	 5.8929e-01	 2.9193e-02	 2.6051e+01	 7.6682e-01	 4.2381e-02	 3.8450e-02	
 1.3000e+01	 4.0035e+00	 1.0000e-05	 6.2733e+01	 4.0784e+00	 6.7895e+01	 2.3529e+01	 6.3506e-01	 5.8913e-01	 3.2651e-02	 2.5970e+01	 8.3248e-01	 4.1121e-02	 4.0625e-02	
 1.4000e+01	 3.9553e+00	 1.0000e-05	 5.9867e+01	 4.0365e+00	 6.5341e+01	 2.3500e+01	 6.0252e-01	 5.8520e-01	 3.1185e-02	 2.5810e+01	 8.1787e-01	 3.8616e-02	 4.2455e-02	
 1.5000e+01	 3.9110e+00	 1.0000e-05	 5.7355e+01	 4.0020e+00	 6.3419e+01	 2.3385e+01	 6.3821e-01	 5.8574e-01	 3.2167e-02	 2.5688e+01	 8.3502e-01	 4.0101e-02	 4.3828e-02	
 1.6000e+01	 3.8684e+00	 1.0000e-05	 5.4992e+01	 3.9633e+00	 6.1144e+01	 2.3360e+01	 6.3914e-01	 5.8582e-01	 3.1514e-02	 2.5675e+01	 8.2702e-01	 3.7691e-02	 4.3899e-02	
 1.7000e+01	 3.8321e+00	 1.0000e-05	 5.3126e+01	 3.9329e+00	 5.9484e+01	 2.3363e+01	 5.9319e-01	 5.8358e-01	 3.1284e-02	 2.5617e+01	 8.2033e-01	 3.6806e-02	 4.4183e-02	
 1.8000e+01	 3.7947e+00	 1.0000e-05	 5.1180e+01	 3.9024e+00	 5.7873e+01	 2.3288e+01	 6.3078e-01	 5.8337e-01	 3.1135e-02	 2.5526e+01	 8.1902e-01	 3.4927e-02	 4.5958e-02	
 1.9000e+01	 3.7631e+00	 1.0000e-05	 4.9553e+01	 3.8727e+00	 5.6292e+01	 2.3231e+01	 6.0018e-01	 5.8105e-01	 3.2554e-02	 2.5410e+01	 8.1238e-01	 3.6610e-02	 4.6295e-02	
 2.0000e+01	 3.7315e+00	 1.0000e-05	 4.8139e+01	 3.8484e+00	 5.5074e+01	 2.3173e+01	 7.6039e-01	 5.7819e-01	 3.1802e-02	 2.5263e+01	 8.1678e-01	 3.6558e-02	 4.4873e-02	
 2.1000e+01	 3.7028e+00	 1.0000e-05	 4.6780e+01	 3.8224e+00	 5.3756e+01	 2.3125e+01	 6.0634e-01	 5.7807e-01	 3.0821e-02	 2.5168e+01	 7.6790e-01	 3.8734e-02	 4.3839e-02	
 2.2000e+01	 3.6741e+00	 1.0000e-05	 4.5437e+01	 3.7987e+00	 5.2592e+01	 2.3010e+01	 6.0970e-01	 5.7616e-01	 3.3744e-02	 2.4998e+01	 8.0872e-01	 3.7020e-02	 4.5688e-02	
 2.3000e+01	 3.6470e+00	 1.0000e-05	 4.4208e+01	 3.7748e+00	 5.1434e+01	 2.2974e+01	 6.1406e-01	 5.7465e-01	 3.3460e-02	 2.4934e+01	 8.0576e-01	 3.8803e-02	 4.8459e-02	
 2.4000e+01	 3.6234e+00	 1.0000e-05	 4.3224e+01	 3.7563e+00	 5.0603e+01	 2.2956e+01	 6.5434e-01	 5.7404e-01	 3.2464e-02	 2.4890e+01	 7.8353e-01	 4.0833e-02	 4.6628e-02	
 2.5000e+01	 3.6003e+00	 1.0000e-05	 4.2205e+01	 3.7336e+00	 4.9515e+01	 2.2884e+01	 6.2844e-01	 5.7151e-01	 3.3648e-02	 2.4717e+01	 8.2115e-01	 3.5791e-02	 4.7401e-02	
 2.6000e+01	 3.5772e+00	 1.0000e-05	 4.1231e+01	 3.7155e+00	 4.8717e+01	 2.2812e+01	 6.3295e-01	 5.6951e-01	 3.3752e-02	 2.4591e+01	 8.3109e-01	 3.5158e-02	 4.6404e-02	
 2.7000e+01	 3.5555e+00	 1.0000e-05	 4.0297e+01	 3.6950e+00	 4.7759e+01	 2.2698e+01	 6.4361e-01	 5.6569e-01	 3.5358e-02	 2.4358e+01	 8.4931e-01	 3.3218e-02	 4.6057e-02	
 2.8000e+01	 3.5332e+00	 1.0000e-05	 3.9473e+01	 3.6767e+00	 4.6960e+01	 2.2661e+01	 8.0235e-01	 5.6153e-01	 3.6456e-02	 2.4224e+01	 8.3900e-01	 3.2770e-02	 4.4282e-02	
 2.9000e+01	 3.5158e+00	 1.0000e-05	 3.8782e+01	 3.6598e+00	 4.6192e+01	 2.2618e+01	 6.6324e-01	 5.6025e-01	 3.5931e-02	 2.4121e+01	 8.3221e-01	 3.2327e-02	 4.3003e-02	
 3.0000e+01	 3.4962e+00	 1.0000e-05	 3.7989e+01	 3.6447e+00	 4.5605e+01	 2.2616e+01	 7.0705e-01	 5.5546e-01	 3.8216e-02	 2.3999e+01	 8.5584e-01	 3.6029e-02	 4.5502e-02	
 3.1000e+01	 3.4773e+00	 1.0000e-05	 3.7231e+01	 3.6288e+00	 4.4895e+01	 2.2573e+01	 7.3927e-01	 5.5676e-01	 3.8549e-02	 2.3993e+01	 8.1591e-01	 3.5949e-02	 4.3812e-02	
