Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.7849e+02	 1.0000e-02	
 1.0000e+00	 4.1130e+02	 1.0000e-02	
 2.0000e+00	 3.8895e+02	 1.0000e-02	
 3.0000e+00	 3.7652e+02	 1.0000e-02	
 4.0000e+00	 3.6868e+02	 1.0000e-02	
 5.0000e+00	 3.6328e+02	 1.0000e-02	
 6.0000e+00	 3.5930e+02	 1.0000e-02	
 7.0000e+00	 3.5693e+02	 1.0000e-02	
 8.0000e+00	 3.5474e+02	 1.0000e-02	
 9.0000e+00	 3.5287e+02	 1.0000e-02	
 1.0000e+01	 3.5214e+02	 1.0000e-02	
 1.1000e+01	 3.5145e+02	 1.0000e-02	
 1.2000e+01	 3.5020e+02	 1.0000e-02	
 1.3000e+01	 3.5005e+02	 1.0000e-02	
 1.4000e+01	 3.4917e+02	 1.0000e-02	
 1.5000e+01	 3.5170e+02	 1.0000e-02	
 1.6000e+01	 3.4946e+02	 1.0000e-02	
 1.7000e+01	 3.4924e+02	 1.0000e-02	
 1.8000e+01	 3.4914e+02	 1.0000e-02	
 1.9000e+01	 3.5081e+02	 1.0000e-02	
 2.0000e+01	 3.5019e+02	 1.0000e-02	
 2.1000e+01	 3.5081e+02	 1.0000e-02	
 2.2000e+01	 3.5026e+02	 1.0000e-02	
 2.3000e+01	 3.5077e+02	 1.0000e-02	
 2.4000e+01	 3.5042e+02	 1.0000e-02	
 2.5000e+01	 3.5121e+02	 1.0000e-02	
 2.6000e+01	 3.5124e+02	 1.0000e-02	
 2.7000e+01	 3.5150e+02	 1.0000e-02	
 2.8000e+01	 3.5224e+02	 1.0000e-02	
 2.9000e+01	 3.5226e+02	 1.0000e-02	
 3.0000e+01	 3.5269e+02	 1.0000e-02	
 3.1000e+01	 3.5224e+02	 1.0000e-02	
 3.2000e+01	 3.5264e+02	 1.0000e-02	
 3.3000e+01	 3.5297e+02	 1.0000e-02	
 3.4000e+01	 3.5321e+02	 1.0000e-02	
 3.5000e+01	 3.5464e+02	 1.0000e-02	
 3.6000e+01	 3.5477e+02	 1.0000e-02	
 3.7000e+01	 3.5382e+02	 1.0000e-02	
 3.8000e+01	 3.5408e+02	 1.0000e-02	
 3.9000e+01	 3.5507e+02	 1.0000e-02	
 4.0000e+01	 3.5462e+02	 1.0000e-02	
 4.1000e+01	 3.5653e+02	 1.0000e-02	
 4.2000e+01	 3.5656e+02	 1.0000e-02	
 4.3000e+01	 3.5615e+02	 1.0000e-02	
 4.4000e+01	 3.5680e+02	 1.0000e-02	
 4.5000e+01	 3.5697e+02	 1.0000e-02	
 4.6000e+01	 3.5647e+02	 1.0000e-02	
 4.7000e+01	 3.5711e+02	 1.0000e-02	
 4.8000e+01	 3.5781e+02	 1.0000e-02	
 4.9000e+01	 3.5857e+02	 1.0000e-02	
