Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 3.5369e+02	 5.0000e-03	
 1.0000e+00	 3.3980e+02	 5.0000e-03	
 2.0000e+00	 3.3498e+02	 5.0000e-03	
 3.0000e+00	 3.3193e+02	 5.0000e-03	
 4.0000e+00	 3.2949e+02	 5.0000e-03	
 5.0000e+00	 3.2763e+02	 5.0000e-03	
 6.0000e+00	 3.2631e+02	 5.0000e-03	
 7.0000e+00	 3.2494e+02	 5.0000e-03	
 8.0000e+00	 3.2386e+02	 5.0000e-03	
 9.0000e+00	 3.2291e+02	 5.0000e-03	
 1.0000e+01	 3.2170e+02	 5.0000e-03	
 1.1000e+01	 3.2053e+02	 5.0000e-03	
 1.2000e+01	 3.2035e+02	 5.0000e-03	
 1.3000e+01	 3.1955e+02	 5.0000e-03	
 1.4000e+01	 3.1911e+02	 5.0000e-03	
 1.5000e+01	 3.1838e+02	 5.0000e-03	
 1.6000e+01	 3.1751e+02	 5.0000e-03	
 1.7000e+01	 3.1712e+02	 5.0000e-03	
 1.8000e+01	 3.1672e+02	 5.0000e-03	
 1.9000e+01	 3.1692e+02	 5.0000e-03	
 2.0000e+01	 3.1662e+02	 5.0000e-03	
 2.1000e+01	 3.1638e+02	 5.0000e-03	
 2.2000e+01	 3.1552e+02	 5.0000e-03	
 2.3000e+01	 3.1496e+02	 5.0000e-03	
 2.4000e+01	 3.1481e+02	 5.0000e-03	
 2.5000e+01	 3.1460e+02	 5.0000e-03	
 2.6000e+01	 3.1460e+02	 5.0000e-03	
 2.7000e+01	 3.1385e+02	 5.0000e-03	
 2.8000e+01	 3.1385e+02	 5.0000e-03	
 2.9000e+01	 3.1314e+02	 5.0000e-03	
 3.0000e+01	 3.1296e+02	 5.0000e-03	
 3.1000e+01	 3.1323e+02	 5.0000e-03	
 3.2000e+01	 3.1264e+02	 5.0000e-03	
 3.3000e+01	 3.1213e+02	 5.0000e-03	
 3.4000e+01	 3.1176e+02	 5.0000e-03	
 3.5000e+01	 3.1207e+02	 5.0000e-03	
 3.6000e+01	 3.1207e+02	 5.0000e-03	
 3.7000e+01	 3.1171e+02	 5.0000e-03	
 3.8000e+01	 3.1117e+02	 5.0000e-03	
 3.9000e+01	 3.1063e+02	 5.0000e-03	
 4.0000e+01	 3.1093e+02	 5.0000e-03	
 4.1000e+01	 3.1072e+02	 5.0000e-03	
 4.2000e+01	 3.1091e+02	 5.0000e-03	
 4.3000e+01	 3.1174e+02	 5.0000e-03	
 4.4000e+01	 3.1114e+02	 5.0000e-03	
 4.5000e+01	 3.1107e+02	 5.0000e-03	
 4.6000e+01	 3.1073e+02	 5.0000e-03	
 4.7000e+01	 3.1054e+02	 5.0000e-03	
 4.8000e+01	 3.1062e+02	 5.0000e-03	
 4.9000e+01	 3.0988e+02	 5.0000e-03	
