Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 5.1507e+00	 1.0000e-04	 8.3061e+02	 4.5458e+00	 1.0308e+02	
 2.0000e+00	 4.0955e+00	 1.0000e-04	 8.9575e+02	 4.0406e+00	 6.0818e+01	
 3.0000e+00	 3.7147e+00	 1.0000e-04	 9.3978e+02	 3.7962e+00	 4.7442e+01	
 4.0000e+00	 3.4907e+00	 1.0000e-04	 9.7484e+02	 3.6378e+00	 4.0552e+01	
 5.0000e+00	 3.3327e+00	 1.0000e-04	 1.0047e+03	 3.5259e+00	 3.6315e+01	
 6.0000e+00	 3.2119e+00	 1.0000e-04	 1.0311e+03	 3.4443e+00	 3.3528e+01	
 7.0000e+00	 3.1128e+00	 1.0000e-04	 1.0549e+03	 3.3799e+00	 3.1491e+01	
 8.0000e+00	 3.0292e+00	 1.0000e-04	 1.0768e+03	 3.3305e+00	 3.0037e+01	
 9.0000e+00	 2.9576e+00	 1.0000e-04	 1.0971e+03	 3.2908e+00	 2.8940e+01	
 1.0000e+01	 2.8948e+00	 1.0000e-04	 1.1162e+03	 3.2558e+00	 2.7966e+01	
 1.1000e+01	 2.8378e+00	 1.0000e-04	 1.1341e+03	 3.2272e+00	 2.7217e+01	
 1.2000e+01	 2.7861e+00	 1.0000e-04	 1.1512e+03	 3.2039e+00	 2.6633e+01	
 1.3000e+01	 2.7385e+00	 1.0000e-04	 1.1674e+03	 3.1813e+00	 2.6037e+01	
 1.4000e+01	 2.6942e+00	 1.0000e-04	 1.1828e+03	 3.1644e+00	 2.5632e+01	
 1.5000e+01	 2.6530e+00	 1.0000e-04	 1.1977e+03	 3.1520e+00	 2.5402e+01	
 1.6000e+01	 2.6140e+00	 1.0000e-04	 1.2119e+03	 3.1375e+00	 2.5023e+01	
 1.7000e+01	 2.5771e+00	 1.0000e-04	 1.2256e+03	 3.1247e+00	 2.4699e+01	
 1.8000e+01	 2.5419e+00	 1.0000e-04	 1.2389e+03	 3.1201e+00	 2.4688e+01	
 1.9000e+01	 2.5087e+00	 1.0000e-04	 1.2516e+03	 3.1099e+00	 2.4389e+01	
 2.0000e+01	 2.4767e+00	 1.0000e-04	 1.2640e+03	 3.1065e+00	 2.4361e+01	
 2.1000e+01	 2.4458e+00	 1.0000e-04	 1.2760e+03	 3.1012e+00	 2.4245e+01	
 2.2000e+01	 2.4167e+00	 1.0000e-04	 1.2876e+03	 3.0995e+00	 2.4201e+01	
 2.3000e+01	 2.3879e+00	 1.0000e-04	 1.2989e+03	 3.0987e+00	 2.4226e+01	
 2.4000e+01	 2.3602e+00	 1.0000e-04	 1.3098e+03	 3.0973e+00	 2.4184e+01	
 2.5000e+01	 2.3338e+00	 1.0000e-04	 1.3205e+03	 3.0970e+00	 2.4241e+01	
 2.6000e+01	 2.3081e+00	 1.0000e-04	 1.3308e+03	 3.1017e+00	 2.4350e+01	
 2.7000e+01	 2.2835e+00	 1.0000e-04	 1.3410e+03	 3.1029e+00	 2.4435e+01	
 2.8000e+01	 2.2594e+00	 1.0000e-04	 1.3508e+03	 3.1022e+00	 2.4440e+01	
 2.9000e+01	 2.2354e+00	 1.0000e-04	 1.3605e+03	 3.1082e+00	 2.4689e+01	
 3.0000e+01	 2.2128e+00	 1.0000e-04	 1.3699e+03	 3.1047e+00	 2.4525e+01	
 3.1000e+01	 2.1904e+00	 1.0000e-04	 1.3791e+03	 3.1091e+00	 2.4699e+01	
 3.2000e+01	 2.1687e+00	 1.0000e-04	 1.3881e+03	 3.1141e+00	 2.4846e+01	
 3.3000e+01	 2.1476e+00	 1.0000e-04	 1.3969e+03	 3.1201e+00	 2.5033e+01	
 3.4000e+01	 2.1271e+00	 1.0000e-04	 1.4055e+03	 3.1278e+00	 2.5272e+01	
 3.5000e+01	 2.1070e+00	 1.0000e-04	 1.4139e+03	 3.1332e+00	 2.5474e+01	
 3.6000e+01	 2.0872e+00	 1.0000e-04	 1.4222e+03	 3.1376e+00	 2.5607e+01	
 3.7000e+01	 2.0684e+00	 1.0000e-04	 1.4303e+03	 3.1445e+00	 2.5831e+01	
 3.8000e+01	 2.0495e+00	 1.0000e-04	 1.4382e+03	 3.1514e+00	 2.6047e+01	
 3.9000e+01	 2.0316e+00	 1.0000e-04	 1.4460e+03	 3.1587e+00	 2.6262e+01	
 4.0000e+01	 2.0138e+00	 1.0000e-04	 1.4537e+03	 3.1641e+00	 2.6425e+01	
 4.1000e+01	 1.9958e+00	 1.0000e-04	 1.4612e+03	 3.1778e+00	 2.6830e+01	
 4.2000e+01	 1.9787e+00	 1.0000e-04	 1.4686e+03	 3.1791e+00	 2.6914e+01	
 4.3000e+01	 1.9624e+00	 1.0000e-04	 1.4759e+03	 3.1917e+00	 2.7291e+01	
 4.4000e+01	 1.9454e+00	 1.0000e-04	 1.4831e+03	 3.2043e+00	 2.7637e+01	
 4.5000e+01	 1.9284e+00	 1.0000e-04	 1.4901e+03	 3.2140e+00	 2.7986e+01	
 4.6000e+01	 1.9122e+00	 1.0000e-04	 1.4970e+03	 3.2242e+00	 2.8307e+01	
 4.7000e+01	 1.8969e+00	 1.0000e-04	 1.5038e+03	 3.2369e+00	 2.8718e+01	
 4.8000e+01	 1.8822e+00	 1.0000e-04	 1.5105e+03	 3.2412e+00	 2.8732e+01	
 4.9000e+01	 1.8678e+00	 1.0000e-04	 1.5171e+03	 3.2611e+00	 2.9423e+01	
 5.0000e+01	 1.8520e+00	 1.0000e-04	 1.5236e+03	 3.2707e+00	 2.9787e+01	
