Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 5.2629e+00	 1.0000e-04	 8.9476e+02	 4.6324e+00	 1.1289e+02	
 2.0000e+00	 4.2598e+00	 1.0000e-04	 7.6735e+01	 4.1260e+00	 6.6226e+01	
 3.0000e+00	 3.8903e+00	 1.0000e-04	 5.2549e+01	 3.8681e+00	 5.0979e+01	
 4.0000e+00	 3.6725e+00	 1.0000e-04	 4.2142e+01	 3.7087e+00	 4.3554e+01	
 5.0000e+00	 3.5210e+00	 1.0000e-04	 3.6141e+01	 3.5950e+00	 3.8935e+01	
 6.0000e+00	 3.4045e+00	 1.0000e-04	 3.2118e+01	 3.5074e+00	 3.5738e+01	
 7.0000e+00	 3.3097e+00	 1.0000e-04	 2.9147e+01	 3.4381e+00	 3.3393e+01	
 8.0000e+00	 3.2288e+00	 1.0000e-04	 2.6845e+01	 3.3803e+00	 3.1546e+01	
 9.0000e+00	 3.1603e+00	 1.0000e-04	 2.5023e+01	 3.3343e+00	 3.0170e+01	
 1.0000e+01	 3.1004e+00	 1.0000e-04	 2.3537e+01	 3.2928e+00	 2.8974e+01	
 1.1000e+01	 3.0481e+00	 1.0000e-04	 2.2308e+01	 3.2581e+00	 2.7990e+01	
 1.2000e+01	 3.0013e+00	 1.0000e-04	 2.1253e+01	 3.2289e+00	 2.7188e+01	
 1.3000e+01	 2.9579e+00	 1.0000e-04	 2.0328e+01	 3.2001e+00	 2.6400e+01	
 1.4000e+01	 2.9186e+00	 1.0000e-04	 1.9518e+01	 3.1766e+00	 2.5819e+01	
 1.5000e+01	 2.8829e+00	 1.0000e-04	 1.8815e+01	 3.1556e+00	 2.5252e+01	
 1.6000e+01	 2.8493e+00	 1.0000e-04	 1.8171e+01	 3.1382e+00	 2.4828e+01	
 1.7000e+01	 2.8180e+00	 1.0000e-04	 1.7586e+01	 3.1255e+00	 2.4591e+01	
 1.8000e+01	 2.7898e+00	 1.0000e-04	 1.7083e+01	 3.1100e+00	 2.4172e+01	
 1.9000e+01	 2.7625e+00	 1.0000e-04	 1.6606e+01	 3.0977e+00	 2.3919e+01	
 2.0000e+01	 2.7363e+00	 1.0000e-04	 1.6157e+01	 3.0889e+00	 2.3685e+01	
 2.1000e+01	 2.7115e+00	 1.0000e-04	 1.5747e+01	 3.0801e+00	 2.3549e+01	
 2.2000e+01	 2.6884e+00	 1.0000e-04	 1.5373e+01	 3.0706e+00	 2.3290e+01	
 2.3000e+01	 2.6658e+00	 1.0000e-04	 1.5014e+01	 3.0648e+00	 2.3156e+01	
 2.4000e+01	 2.6448e+00	 1.0000e-04	 1.4690e+01	 3.0630e+00	 2.3227e+01	
 2.5000e+01	 2.6247e+00	 1.0000e-04	 1.4386e+01	 3.0520e+00	 2.2890e+01	
 2.6000e+01	 2.6035e+00	 1.0000e-04	 1.4074e+01	 3.0517e+00	 2.2965e+01	
 2.7000e+01	 2.5844e+00	 1.0000e-04	 1.3797e+01	 3.0464e+00	 2.2845e+01	
 2.8000e+01	 2.5662e+00	 1.0000e-04	 1.3539e+01	 3.0483e+00	 2.2898e+01	
 2.9000e+01	 2.5482e+00	 1.0000e-04	 1.3285e+01	 3.0400e+00	 2.2638e+01	
 3.0000e+01	 2.5298e+00	 1.0000e-04	 1.3036e+01	 3.0432e+00	 2.2771e+01	
 3.1000e+01	 2.5150e+00	 1.0000e-04	 1.2833e+01	 3.0497e+00	 2.2992e+01	
 3.2000e+01	 2.4981e+00	 1.0000e-04	 1.2610e+01	 3.0353e+00	 2.2563e+01	
 3.3000e+01	 2.4820e+00	 1.0000e-04	 1.2399e+01	 3.0410e+00	 2.2811e+01	
 3.4000e+01	 2.4662e+00	 1.0000e-04	 1.2196e+01	 3.0355e+00	 2.2574e+01	
 3.5000e+01	 2.4514e+00	 1.0000e-04	 1.2014e+01	 3.0413e+00	 2.2794e+01	
 3.6000e+01	 2.4365e+00	 1.0000e-04	 1.1828e+01	 3.0424e+00	 2.2850e+01	
 3.7000e+01	 2.4229e+00	 1.0000e-04	 1.1662e+01	 3.0425e+00	 2.2824e+01	
 3.8000e+01	 2.4091e+00	 1.0000e-04	 1.1494e+01	 3.0497e+00	 2.3071e+01	
 3.9000e+01	 2.3944e+00	 1.0000e-04	 1.1322e+01	 3.0460e+00	 2.2919e+01	
 4.0000e+01	 2.3814e+00	 1.0000e-04	 1.1172e+01	 3.0484e+00	 2.3016e+01	
 4.1000e+01	 2.3682e+00	 1.0000e-04	 1.1020e+01	 3.0523e+00	 2.3161e+01	
 4.2000e+01	 2.3572e+00	 1.0000e-04	 1.0893e+01	 3.0537e+00	 2.3181e+01	
 4.3000e+01	 2.3435e+00	 1.0000e-04	 1.0742e+01	 3.0522e+00	 2.3119e+01	
 4.4000e+01	 2.3320e+00	 1.0000e-04	 1.0611e+01	 3.0563e+00	 2.3250e+01	
 4.5000e+01	 2.3196e+00	 1.0000e-04	 1.0478e+01	 3.0579e+00	 2.3303e+01	
 4.6000e+01	 2.3091e+00	 1.0000e-04	 1.0364e+01	 3.0603e+00	 2.3376e+01	
 4.7000e+01	 2.2960e+00	 1.0000e-04	 1.0226e+01	 3.0599e+00	 2.3390e+01	
 4.8000e+01	 2.2866e+00	 1.0000e-04	 1.0124e+01	 3.0691e+00	 2.3639e+01	
 4.9000e+01	 2.2754e+00	 1.0000e-04	 1.0010e+01	 3.0711e+00	 2.3687e+01	
 5.0000e+01	 2.2657e+00	 1.0000e-04	 9.9097e+00	 3.0707e+00	 2.3700e+01	
