Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 2.6566e+00	 1.0000e-04	 1.4941e+01	 3.1300e+00	 2.4817e+01	
 2.0000e+00	 2.6050e+00	 1.0000e-04	 1.4149e+01	 3.1127e+00	 2.4401e+01	
 3.0000e+00	 2.5636e+00	 1.0000e-04	 1.3547e+01	 3.1020e+00	 2.4177e+01	
 4.0000e+00	 2.5256e+00	 1.0000e-04	 1.3019e+01	 3.0915e+00	 2.3920e+01	
 5.0000e+00	 2.4912e+00	 1.0000e-04	 1.2561e+01	 3.0873e+00	 2.3870e+01	
 6.0000e+00	 2.4579e+00	 1.0000e-04	 1.2133e+01	 3.0820e+00	 2.3764e+01	
 7.0000e+00	 2.4267e+00	 1.0000e-04	 1.1745e+01	 3.0810e+00	 2.3815e+01	
 8.0000e+00	 2.3969e+00	 1.0000e-04	 1.1386e+01	 3.0770e+00	 2.3708e+01	
 9.0000e+00	 2.3681e+00	 1.0000e-04	 1.1051e+01	 3.0748e+00	 2.3676e+01	
 1.0000e+01	 2.3406e+00	 1.0000e-04	 1.0740e+01	 3.0750e+00	 2.3709e+01	
 1.1000e+01	 2.3146e+00	 1.0000e-04	 1.0455e+01	 3.0773e+00	 2.3823e+01	
 1.2000e+01	 2.2889e+00	 1.0000e-04	 1.0180e+01	 3.0798e+00	 2.3877e+01	
 1.3000e+01	 2.2642e+00	 1.0000e-04	 9.9232e+00	 3.0813e+00	 2.3950e+01	
 1.4000e+01	 2.2403e+00	 1.0000e-04	 9.6806e+00	 3.0861e+00	 2.4144e+01	
 1.5000e+01	 2.2176e+00	 1.0000e-04	 9.4560e+00	 3.0890e+00	 2.4187e+01	
 1.6000e+01	 2.1948e+00	 1.0000e-04	 9.2361e+00	 3.0971e+00	 2.4487e+01	
 1.7000e+01	 2.1727e+00	 1.0000e-04	 9.0283e+00	 3.1020e+00	 2.4610e+01	
 1.8000e+01	 2.1519e+00	 1.0000e-04	 8.8363e+00	 3.1000e+00	 2.4512e+01	
 1.9000e+01	 2.1312e+00	 1.0000e-04	 8.6498e+00	 3.1101e+00	 2.4842e+01	
 2.0000e+01	 2.1116e+00	 1.0000e-04	 8.4771e+00	 3.1175e+00	 2.5054e+01	
 2.1000e+01	 2.0918e+00	 1.0000e-04	 8.3063e+00	 3.1260e+00	 2.5294e+01	
 2.2000e+01	 2.0728e+00	 1.0000e-04	 8.1450e+00	 3.1298e+00	 2.5399e+01	
 2.3000e+01	 2.0543e+00	 1.0000e-04	 7.9914e+00	 3.1325e+00	 2.5448e+01	
 2.4000e+01	 2.0358e+00	 1.0000e-04	 7.8407e+00	 3.1409e+00	 2.5750e+01	
 2.5000e+01	 2.0159e+00	 1.0000e-04	 7.6819e+00	 3.1513e+00	 2.6085e+01	
 2.6000e+01	 1.9981e+00	 1.0000e-04	 7.5429e+00	 3.1571e+00	 2.6210e+01	
 2.7000e+01	 1.9800e+00	 1.0000e-04	 7.4043e+00	 3.1639e+00	 2.6448e+01	
 2.8000e+01	 1.9627e+00	 1.0000e-04	 7.2741e+00	 3.1764e+00	 2.6722e+01	
 2.9000e+01	 1.9457e+00	 1.0000e-04	 7.1477e+00	 3.1848e+00	 2.7087e+01	
 3.0000e+01	 1.9303e+00	 1.0000e-04	 7.0358e+00	 3.1957e+00	 2.7401e+01	
 3.1000e+01	 1.9125e+00	 1.0000e-04	 6.9088e+00	 3.2098e+00	 2.7905e+01	
 3.2000e+01	 1.8964e+00	 1.0000e-04	 6.7953e+00	 3.2130e+00	 2.7921e+01	
 3.3000e+01	 1.8804e+00	 1.0000e-04	 6.6850e+00	 3.2273e+00	 2.8359e+01	
 3.4000e+01	 1.8654e+00	 1.0000e-04	 6.5830e+00	 3.2407e+00	 2.8835e+01	
 3.5000e+01	 1.8501e+00	 1.0000e-04	 6.4808e+00	 3.2519e+00	 2.9219e+01	
 3.6000e+01	 1.8352e+00	 1.0000e-04	 6.3831e+00	 3.2572e+00	 2.9384e+01	
 3.7000e+01	 1.8213e+00	 1.0000e-04	 6.2927e+00	 3.2752e+00	 3.0112e+01	
 3.8000e+01	 1.8075e+00	 1.0000e-04	 6.2043e+00	 3.2834e+00	 3.0234e+01	
 3.9000e+01	 1.7951e+00	 1.0000e-04	 6.1263e+00	 3.2933e+00	 3.0665e+01	
 4.0000e+01	 1.7789e+00	 1.0000e-04	 6.0261e+00	 3.3015e+00	 3.0916e+01	
 4.1000e+01	 1.7651e+00	 1.0000e-04	 5.9415e+00	 3.3147e+00	 3.1419e+01	
 4.2000e+01	 1.7512e+00	 1.0000e-04	 5.8575e+00	 3.3210e+00	 3.1526e+01	
 4.3000e+01	 1.7488e+00	 1.0000e-04	 5.8441e+00	 3.3293e+00	 3.1996e+01	
 4.4000e+01	 1.7384e+00	 1.0000e-04	 5.7812e+00	 3.3358e+00	 3.2205e+01	
 4.5000e+01	 1.7092e+00	 1.0000e-04	 5.6118e+00	 3.3547e+00	 3.2866e+01	
 4.6000e+01	 1.6981e+00	 1.0000e-04	 5.5484e+00	 3.3633e+00	 3.3104e+01	
 4.7000e+01	 1.6891e+00	 1.0000e-04	 5.4985e+00	 3.3731e+00	 3.3626e+01	
 4.8000e+01	 1.6767e+00	 1.0000e-04	 5.4299e+00	 3.3825e+00	 3.4003e+01	
 4.9000e+01	 1.6644e+00	 1.0000e-04	 5.3620e+00	 3.3984e+00	 3.4570e+01	
 5.0000e+01	 1.6538e+00	 1.0000e-04	 5.3045e+00	 3.4090e+00	 3.5042e+01	
