Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 5.1319e+00	 1.0000e-04	 8.5109e+02	 4.5307e+00	 1.0144e+02	
 2.0000e+00	 4.0882e+00	 1.0000e-04	 9.1575e+02	 4.0360e+00	 6.0591e+01	
 3.0000e+00	 3.7176e+00	 1.0000e-04	 9.5990e+02	 3.7935e+00	 4.7184e+01	
 4.0000e+00	 3.4969e+00	 1.0000e-04	 9.9516e+02	 3.6380e+00	 4.0418e+01	
 5.0000e+00	 3.3398e+00	 1.0000e-04	 1.0252e+03	 3.5287e+00	 3.6284e+01	
 6.0000e+00	 3.2186e+00	 1.0000e-04	 1.0518e+03	 3.4484e+00	 3.3552e+01	
 7.0000e+00	 3.1207e+00	 1.0000e-04	 1.0758e+03	 3.3863e+00	 3.1603e+01	
 8.0000e+00	 3.0376e+00	 1.0000e-04	 1.0979e+03	 3.3358e+00	 3.0120e+01	
 9.0000e+00	 2.9649e+00	 1.0000e-04	 1.1183e+03	 3.2970e+00	 2.9063e+01	
 1.0000e+01	 2.9013e+00	 1.0000e-04	 1.1375e+03	 3.2611e+00	 2.8074e+01	
 1.1000e+01	 2.8445e+00	 1.0000e-04	 1.1556e+03	 3.2299e+00	 2.7237e+01	
 1.2000e+01	 2.7927e+00	 1.0000e-04	 1.1728e+03	 3.2057e+00	 2.6660e+01	
 1.3000e+01	 2.7454e+00	 1.0000e-04	 1.1891e+03	 3.1833e+00	 2.6081e+01	
 1.4000e+01	 2.7010e+00	 1.0000e-04	 1.2047e+03	 3.1626e+00	 2.5550e+01	
 1.5000e+01	 2.6595e+00	 1.0000e-04	 1.2196e+03	 3.1460e+00	 2.5168e+01	
 1.6000e+01	 2.6205e+00	 1.0000e-04	 1.2340e+03	 3.1361e+00	 2.4995e+01	
 1.7000e+01	 2.5839e+00	 1.0000e-04	 1.2478e+03	 3.1256e+00	 2.4731e+01	
 1.8000e+01	 2.5489e+00	 1.0000e-04	 1.2611e+03	 3.1112e+00	 2.4343e+01	
 1.9000e+01	 2.5150e+00	 1.0000e-04	 1.2740e+03	 3.1055e+00	 2.4238e+01	
 2.0000e+01	 2.4829e+00	 1.0000e-04	 1.2864e+03	 3.1012e+00	 2.4159e+01	
 2.1000e+01	 2.4519e+00	 1.0000e-04	 1.2985e+03	 3.0957e+00	 2.4023e+01	
 2.2000e+01	 2.4222e+00	 1.0000e-04	 1.3101e+03	 3.0966e+00	 2.4118e+01	
 2.3000e+01	 2.3934e+00	 1.0000e-04	 1.3215e+03	 3.0928e+00	 2.3993e+01	
 2.4000e+01	 2.3661e+00	 1.0000e-04	 1.3325e+03	 3.0953e+00	 2.4105e+01	
 2.5000e+01	 2.3395e+00	 1.0000e-04	 1.3432e+03	 3.0979e+00	 2.4172e+01	
 2.6000e+01	 2.3141e+00	 1.0000e-04	 1.3537e+03	 3.0966e+00	 2.4151e+01	
 2.7000e+01	 2.2888e+00	 1.0000e-04	 1.3639e+03	 3.1027e+00	 2.4351e+01	
 2.8000e+01	 2.2648e+00	 1.0000e-04	 1.3738e+03	 3.1060e+00	 2.4464e+01	
 2.9000e+01	 2.2415e+00	 1.0000e-04	 1.3835e+03	 3.1123e+00	 2.4644e+01	
 3.0000e+01	 2.2188e+00	 1.0000e-04	 1.3930e+03	 3.1158e+00	 2.4749e+01	
 3.1000e+01	 2.1969e+00	 1.0000e-04	 1.4022e+03	 3.1213e+00	 2.4936e+01	
 3.2000e+01	 2.1754e+00	 1.0000e-04	 1.4113e+03	 3.1306e+00	 2.5202e+01	
 3.3000e+01	 2.1547e+00	 1.0000e-04	 1.4201e+03	 3.1373e+00	 2.5362e+01	
 3.4000e+01	 2.1338e+00	 1.0000e-04	 1.4288e+03	 3.1430e+00	 2.5553e+01	
