Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 4.8632e+00	 1.0000e-04	 5.9993e+02	 4.2826e+00	 7.8759e+01	
 2.0000e+00	 3.8508e+00	 1.0000e-04	 5.0941e+01	 3.8281e+00	 4.8974e+01	
 3.0000e+00	 3.4999e+00	 1.0000e-04	 3.5479e+01	 3.6060e+00	 3.9293e+01	
 4.0000e+00	 3.2872e+00	 1.0000e-04	 2.8561e+01	 3.4632e+00	 3.4113e+01	
 5.0000e+00	 3.1319e+00	 1.0000e-04	 2.4356e+01	 3.3646e+00	 3.0956e+01	
 6.0000e+00	 3.0098e+00	 1.0000e-04	 2.1486e+01	 3.2927e+00	 2.8866e+01	
 7.0000e+00	 2.9085e+00	 1.0000e-04	 1.9357e+01	 3.2381e+00	 2.7400e+01	
 8.0000e+00	 2.8205e+00	 1.0000e-04	 1.7675e+01	 3.1957e+00	 2.6320e+01	
 9.0000e+00	 2.7422e+00	 1.0000e-04	 1.6300e+01	 3.1598e+00	 2.5441e+01	
 1.0000e+01	 2.6719e+00	 1.0000e-04	 1.5154e+01	 3.1336e+00	 2.4828e+01	
 1.1000e+01	 2.6074e+00	 1.0000e-04	 1.4174e+01	 3.1109e+00	 2.4311e+01	
 1.2000e+01	 2.5481e+00	 1.0000e-04	 1.3329e+01	 3.0952e+00	 2.3984e+01	
 1.3000e+01	 2.4919e+00	 1.0000e-04	 1.2572e+01	 3.0837e+00	 2.3741e+01	
 1.4000e+01	 2.4386e+00	 1.0000e-04	 1.1895e+01	 3.0764e+00	 2.3611e+01	
 1.5000e+01	 2.3886e+00	 1.0000e-04	 1.1294e+01	 3.0719e+00	 2.3533e+01	
 1.6000e+01	 2.3408e+00	 1.0000e-04	 1.0748e+01	 3.0688e+00	 2.3500e+01	
 1.7000e+01	 2.2943e+00	 1.0000e-04	 1.0243e+01	 3.0678e+00	 2.3488e+01	
 1.8000e+01	 2.2502e+00	 1.0000e-04	 9.7872e+00	 3.0710e+00	 2.3651e+01	
 1.9000e+01	 2.2082e+00	 1.0000e-04	 9.3709e+00	 3.0736e+00	 2.3732e+01	
 2.0000e+01	 2.1679e+00	 1.0000e-04	 8.9899e+00	 3.0756e+00	 2.3739e+01	
 2.1000e+01	 2.1284e+00	 1.0000e-04	 8.6315e+00	 3.0901e+00	 2.4172e+01	
 2.2000e+01	 2.0898e+00	 1.0000e-04	 8.2952e+00	 3.0947e+00	 2.4314e+01	
 2.3000e+01	 2.0524e+00	 1.0000e-04	 7.9812e+00	 3.1076e+00	 2.4716e+01	
 2.4000e+01	 2.0149e+00	 1.0000e-04	 7.6795e+00	 3.1180e+00	 2.4962e+01	
 2.5000e+01	 1.9791e+00	 1.0000e-04	 7.4020e+00	 3.1281e+00	 2.5295e+01	
 2.6000e+01	 1.9444e+00	 1.0000e-04	 7.1423e+00	 3.1380e+00	 2.5540e+01	
 2.7000e+01	 1.9096e+00	 1.0000e-04	 6.8920e+00	 3.1459e+00	 2.5772e+01	
 2.8000e+01	 1.8779e+00	 1.0000e-04	 6.6724e+00	 3.1616e+00	 2.6200e+01	
 2.9000e+01	 1.8451e+00	 1.0000e-04	 6.4517e+00	 3.1799e+00	 2.6777e+01	
 3.0000e+01	 1.8125e+00	 1.0000e-04	 6.2403e+00	 3.1996e+00	 2.7487e+01	
