Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 2.7150e+02	 5.0000e-06	
 1.0000e+00	 2.7139e+02	 5.0000e-06	
 2.0000e+00	 2.7133e+02	 5.0000e-06	
 3.0000e+00	 2.7129e+02	 5.0000e-06	
 4.0000e+00	 2.7126e+02	 5.0000e-06	
 5.0000e+00	 2.7123e+02	 5.0000e-06	
 6.0000e+00	 2.7122e+02	 5.0000e-06	
 7.0000e+00	 2.7120e+02	 5.0000e-06	
 8.0000e+00	 2.7119e+02	 5.0000e-06	
 9.0000e+00	 2.7118e+02	 5.0000e-06	
 1.0000e+01	 2.7117e+02	 5.0000e-06	
 1.1000e+01	 2.7116e+02	 5.0000e-06	
 1.2000e+01	 2.7115e+02	 5.0000e-06	
 1.3000e+01	 2.7114e+02	 5.0000e-06	
 1.4000e+01	 2.7114e+02	 5.0000e-06	
 1.5000e+01	 2.7113e+02	 5.0000e-06	
 1.6000e+01	 2.7113e+02	 5.0000e-06	
 1.7000e+01	 2.7112e+02	 5.0000e-06	
 1.8000e+01	 2.7112e+02	 5.0000e-06	
 1.9000e+01	 2.7111e+02	 5.0000e-06	
 2.0000e+01	 2.7111e+02	 5.0000e-06	
 2.1000e+01	 2.7110e+02	 5.0000e-06	
 2.2000e+01	 2.7110e+02	 5.0000e-06	
 2.3000e+01	 2.7109e+02	 5.0000e-06	
 2.4000e+01	 2.7109e+02	 5.0000e-06	
 2.5000e+01	 2.7108e+02	 5.0000e-06	
 2.6000e+01	 2.7108e+02	 5.0000e-06	
 2.7000e+01	 2.7108e+02	 5.0000e-06	
 2.8000e+01	 2.7107e+02	 5.0000e-06	
 2.9000e+01	 2.7107e+02	 5.0000e-06	
 3.0000e+01	 2.7106e+02	 5.0000e-06	
 3.1000e+01	 2.7106e+02	 5.0000e-06	
 3.2000e+01	 2.7106e+02	 5.0000e-06	
 3.3000e+01	 2.7105e+02	 5.0000e-06	
 3.4000e+01	 2.7105e+02	 5.0000e-06	
 3.5000e+01	 2.7105e+02	 5.0000e-06	
 3.6000e+01	 2.7104e+02	 5.0000e-06	
 3.7000e+01	 2.7104e+02	 5.0000e-06	
 3.8000e+01	 2.7104e+02	 5.0000e-06	
 3.9000e+01	 2.7103e+02	 5.0000e-06	
 4.0000e+01	 2.7103e+02	 5.0000e-06	
 4.1000e+01	 2.7103e+02	 5.0000e-06	
 4.2000e+01	 2.7102e+02	 5.0000e-06	
 4.3000e+01	 2.7102e+02	 5.0000e-06	
 4.4000e+01	 2.7102e+02	 5.0000e-06	
 4.5000e+01	 2.7101e+02	 5.0000e-06	
 4.6000e+01	 2.7101e+02	 5.0000e-06	
 4.7000e+01	 2.7101e+02	 5.0000e-06	
 4.8000e+01	 2.7101e+02	 5.0000e-06	
 4.9000e+01	 2.7100e+02	 5.0000e-06	
