Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 5.0992e+00	 1.0000e-04	 9.7889e+02	 4.4633e+00	 9.4621e+01	
 2.0000e+00	 4.1115e+00	 1.0000e-04	 6.6097e+01	 3.9951e+00	 5.8047e+01	
 3.0000e+00	 3.7679e+00	 1.0000e-04	 4.6499e+01	 3.7625e+00	 4.5902e+01	
 4.0000e+00	 3.5644e+00	 1.0000e-04	 3.7808e+01	 3.6184e+00	 3.9769e+01	
 5.0000e+00	 3.4211e+00	 1.0000e-04	 3.2680e+01	 3.5144e+00	 3.5920e+01	
 6.0000e+00	 3.3129e+00	 1.0000e-04	 2.9272e+01	 3.4380e+00	 3.3357e+01	
 7.0000e+00	 3.2255e+00	 1.0000e-04	 2.6763e+01	 3.3809e+00	 3.1584e+01	
 8.0000e+00	 3.1525e+00	 1.0000e-04	 2.4832e+01	 3.3356e+00	 3.0255e+01	
 9.0000e+00	 3.0900e+00	 1.0000e-04	 2.3286e+01	 3.2963e+00	 2.9153e+01	
 1.0000e+01	 3.0375e+00	 1.0000e-04	 2.2063e+01	 3.2659e+00	 2.8325e+01	
 1.1000e+01	 2.9901e+00	 1.0000e-04	 2.1011e+01	 3.2387e+00	 2.7579e+01	
 1.2000e+01	 2.9480e+00	 1.0000e-04	 2.0112e+01	 3.2173e+00	 2.7043e+01	
 1.3000e+01	 2.9094e+00	 1.0000e-04	 1.9330e+01	 3.2005e+00	 2.6629e+01	
 1.4000e+01	 2.8742e+00	 1.0000e-04	 1.8634e+01	 3.1808e+00	 2.6096e+01	
 1.5000e+01	 2.8419e+00	 1.0000e-04	 1.8016e+01	 3.1652e+00	 2.5691e+01	
 1.6000e+01	 2.8119e+00	 1.0000e-04	 1.7467e+01	 3.1533e+00	 2.5419e+01	
 1.7000e+01	 2.7824e+00	 1.0000e-04	 1.6940e+01	 3.1482e+00	 2.5426e+01	
 1.8000e+01	 2.7573e+00	 1.0000e-04	 1.6501e+01	 3.1349e+00	 2.5045e+01	
 1.9000e+01	 2.7322e+00	 1.0000e-04	 1.6071e+01	 3.1251e+00	 2.4747e+01	
 2.0000e+01	 2.7088e+00	 1.0000e-04	 1.5684e+01	 3.1181e+00	 2.4579e+01	
 2.1000e+01	 2.6847e+00	 1.0000e-04	 1.5294e+01	 3.1130e+00	 2.4461e+01	
 2.2000e+01	 2.6649e+00	 1.0000e-04	 1.4984e+01	 3.1077e+00	 2.4346e+01	
 2.3000e+01	 2.6433e+00	 1.0000e-04	 1.4652e+01	 3.1046e+00	 2.4307e+01	
 2.4000e+01	 2.6230e+00	 1.0000e-04	 1.4348e+01	 3.1027e+00	 2.4310e+01	
 2.5000e+01	 2.6059e+00	 1.0000e-04	 1.4086e+01	 3.1065e+00	 2.4571e+01	
 2.6000e+01	 2.5865e+00	 1.0000e-04	 1.3805e+01	 3.1033e+00	 2.4459e+01	
 2.7000e+01	 2.5686e+00	 1.0000e-04	 1.3553e+01	 3.0972e+00	 2.4230e+01	
 2.8000e+01	 2.5522e+00	 1.0000e-04	 1.3322e+01	 3.0948e+00	 2.4172e+01	
 2.9000e+01	 2.5351e+00	 1.0000e-04	 1.3083e+01	 3.1008e+00	 2.4389e+01	
 3.0000e+01	 2.5186e+00	 1.0000e-04	 1.2860e+01	 3.1029e+00	 2.4579e+01	
 3.1000e+01	 2.5036e+00	 1.0000e-04	 1.2658e+01	 3.1023e+00	 2.4432e+01	
 3.2000e+01	 2.4879e+00	 1.0000e-04	 1.2457e+01	 3.0968e+00	 2.4245e+01	
 3.3000e+01	 2.4737e+00	 1.0000e-04	 1.2270e+01	 3.0964e+00	 2.4251e+01	
 3.4000e+01	 2.4595e+00	 1.0000e-04	 1.2090e+01	 3.1038e+00	 2.4479e+01	
 3.5000e+01	 2.4462e+00	 1.0000e-04	 1.1924e+01	 3.1087e+00	 2.4875e+01	
 3.6000e+01	 2.4319e+00	 1.0000e-04	 1.1751e+01	 3.1090e+00	 2.4665e+01	
 3.7000e+01	 2.4194e+00	 1.0000e-04	 1.1598e+01	 3.1140e+00	 2.4868e+01	
 3.8000e+01	 2.4072e+00	 1.0000e-04	 1.1454e+01	 3.1152e+00	 2.4923e+01	
 3.9000e+01	 2.3925e+00	 1.0000e-04	 1.1279e+01	 3.1125e+00	 2.4789e+01	
 4.0000e+01	 2.3804e+00	 1.0000e-04	 1.1135e+01	 3.1256e+00	 2.5279e+01	
 4.1000e+01	 2.3706e+00	 1.0000e-04	 1.1026e+01	 3.1284e+00	 2.5283e+01	
 4.2000e+01	 2.3573e+00	 1.0000e-04	 1.0877e+01	 3.1265e+00	 2.5195e+01	
 4.3000e+01	 2.3475e+00	 1.0000e-04	 1.0762e+01	 3.1306e+00	 2.5384e+01	
 4.4000e+01	 2.3358e+00	 1.0000e-04	 1.0634e+01	 3.1363e+00	 2.5467e+01	
 4.5000e+01	 2.3265e+00	 1.0000e-04	 1.0532e+01	 3.1388e+00	 2.5585e+01	
 4.6000e+01	 2.3142e+00	 1.0000e-04	 1.0401e+01	 3.1406e+00	 2.5626e+01	
 4.7000e+01	 2.3040e+00	 1.0000e-04	 1.0291e+01	 3.1478e+00	 2.5935e+01	
 4.8000e+01	 2.2941e+00	 1.0000e-04	 1.0185e+01	 3.1481e+00	 2.5928e+01	
 4.9000e+01	 2.2845e+00	 1.0000e-04	 1.0085e+01	 3.1535e+00	 2.6015e+01	
 5.0000e+01	 2.2750e+00	 1.0000e-04	 9.9836e+00	 3.1550e+00	 2.6120e+01	
