Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 5.6972e+00	 1.0000e-04	 1.8999e+03	 5.0199e+00	 1.6474e+02	
 2.0000e+00	 4.7041e+00	 1.0000e-04	 1.1839e+02	 4.5228e+00	 9.9816e+01	
 3.0000e+00	 4.3197e+00	 1.0000e-04	 8.0491e+01	 4.2451e+00	 7.5153e+01	
 4.0000e+00	 4.0893e+00	 1.0000e-04	 6.3817e+01	 4.0687e+00	 6.2582e+01	
 5.0000e+00	 3.9339e+00	 1.0000e-04	 5.4546e+01	 3.9464e+00	 5.5212e+01	
 6.0000e+00	 3.8192e+00	 1.0000e-04	 4.8582e+01	 3.8579e+00	 5.0558e+01	
 7.0000e+00	 3.7299e+00	 1.0000e-04	 4.4389e+01	 3.7883e+00	 4.7250e+01	
 8.0000e+00	 3.6573e+00	 1.0000e-04	 4.1247e+01	 3.7310e+00	 4.4721e+01	
 9.0000e+00	 3.5962e+00	 1.0000e-04	 3.8771e+01	 3.6844e+00	 4.2777e+01	
 1.0000e+01	 3.5440e+00	 1.0000e-04	 3.6767e+01	 3.6433e+00	 4.1144e+01	
 1.1000e+01	 3.4978e+00	 1.0000e-04	 3.5083e+01	 3.6077e+00	 3.9766e+01	
 1.2000e+01	 3.4566e+00	 1.0000e-04	 3.3649e+01	 3.5755e+00	 3.8579e+01	
 1.3000e+01	 3.4214e+00	 1.0000e-04	 3.2471e+01	 3.5468e+00	 3.7500e+01	
 1.4000e+01	 3.3881e+00	 1.0000e-04	 3.1398e+01	 3.5227e+00	 3.6636e+01	
 1.5000e+01	 3.3588e+00	 1.0000e-04	 3.0462e+01	 3.4983e+00	 3.5750e+01	
 1.6000e+01	 3.3317e+00	 1.0000e-04	 2.9625e+01	 3.4783e+00	 3.5058e+01	
 1.7000e+01	 3.3065e+00	 1.0000e-04	 2.8886e+01	 3.4582e+00	 3.4371e+01	
 1.8000e+01	 3.2840e+00	 1.0000e-04	 2.8214e+01	 3.4418e+00	 3.3832e+01	
 1.9000e+01	 3.2612e+00	 1.0000e-04	 2.7564e+01	 3.4235e+00	 3.3216e+01	
 2.0000e+01	 3.2425e+00	 1.0000e-04	 2.7056e+01	 3.4094e+00	 3.2751e+01	
 2.1000e+01	 3.2233e+00	 1.0000e-04	 2.6521e+01	 3.3946e+00	 3.2277e+01	
 2.2000e+01	 3.2045e+00	 1.0000e-04	 2.6016e+01	 3.3792e+00	 3.1790e+01	
 2.3000e+01	 3.1869e+00	 1.0000e-04	 2.5550e+01	 3.3665e+00	 3.1400e+01	
 2.4000e+01	 3.1713e+00	 1.0000e-04	 2.5150e+01	 3.3571e+00	 3.1140e+01	
 2.5000e+01	 3.1565e+00	 1.0000e-04	 2.4772e+01	 3.3452e+00	 3.0767e+01	
 2.6000e+01	 3.1423e+00	 1.0000e-04	 2.4408e+01	 3.3354e+00	 3.0486e+01	
 2.7000e+01	 3.1281e+00	 1.0000e-04	 2.4053e+01	 3.3263e+00	 3.0204e+01	
 2.8000e+01	 3.1164e+00	 1.0000e-04	 2.3773e+01	 3.3182e+00	 2.9979e+01	
 2.9000e+01	 3.1024e+00	 1.0000e-04	 2.3428e+01	 3.3093e+00	 2.9722e+01	
 3.0000e+01	 3.0920e+00	 1.0000e-04	 2.3178e+01	 3.3024e+00	 2.9550e+01	
 3.1000e+01	 3.0809e+00	 1.0000e-04	 2.2917e+01	 3.2957e+00	 2.9373e+01	
 3.2000e+01	 3.0696e+00	 1.0000e-04	 2.2650e+01	 3.2881e+00	 2.9125e+01	
 3.3000e+01	 3.0590e+00	 1.0000e-04	 2.2398e+01	 3.2823e+00	 2.8980e+01	
 3.4000e+01	 3.0495e+00	 1.0000e-04	 2.2178e+01	 3.2782e+00	 2.8914e+01	
 3.5000e+01	 3.0394e+00	 1.0000e-04	 2.1946e+01	 3.2713e+00	 2.8690e+01	
 3.6000e+01	 3.0297e+00	 1.0000e-04	 2.1727e+01	 3.2666e+00	 2.8575e+01	
 3.7000e+01	 3.0200e+00	 1.0000e-04	 2.1510e+01	 3.2626e+00	 2.8476e+01	
 3.8000e+01	 3.0128e+00	 1.0000e-04	 2.1361e+01	 3.2554e+00	 2.8265e+01	
 3.9000e+01	 3.0042e+00	 1.0000e-04	 2.1167e+01	 3.2551e+00	 2.8341e+01	
 4.0000e+01	 2.9971e+00	 1.0000e-04	 2.1012e+01	 3.2489e+00	 2.8111e+01	
 4.1000e+01	 2.9878e+00	 1.0000e-04	 2.0805e+01	 3.2435e+00	 2.7952e+01	
 4.2000e+01	 2.9812e+00	 1.0000e-04	 2.0665e+01	 3.2412e+00	 2.7915e+01	
 4.3000e+01	 2.9726e+00	 1.0000e-04	 2.0479e+01	 3.2368e+00	 2.7778e+01	
 4.4000e+01	 2.9659e+00	 1.0000e-04	 2.0346e+01	 3.2348e+00	 2.7761e+01	
 4.5000e+01	 2.9587e+00	 1.0000e-04	 2.0184e+01	 3.2316e+00	 2.7690e+01	
 4.6000e+01	 2.9522e+00	 1.0000e-04	 2.0057e+01	 3.2286e+00	 2.7619e+01	
 4.7000e+01	 2.9452e+00	 1.0000e-04	 1.9909e+01	 3.2256e+00	 2.7532e+01	
 4.8000e+01	 2.9398e+00	 1.0000e-04	 1.9796e+01	 3.2217e+00	 2.7440e+01	
 4.9000e+01	 2.9330e+00	 1.0000e-04	 1.9654e+01	 3.2210e+00	 2.7439e+01	
 5.0000e+01	 2.9269e+00	 1.0000e-04	 1.9532e+01	 3.2192e+00	 2.7391e+01	
