Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0817e+01	 1.0000e-04	 5.0334e+04	 1.7187e+00	 6.7216e+00	
 2.0000e+00	 1.0407e+01	 1.0000e-04	 3.4347e+04	 1.5865e+00	 5.7179e+00	
 3.0000e+00	 8.2949e+00	 1.0000e-04	 6.2733e+03	 1.1391e+00	 3.3841e+00	
 4.0000e+00	 5.8078e+00	 1.0000e-04	 3.6885e+02	 9.9999e-01	 2.8970e+00	
 5.0000e+00	 5.2433e+00	 1.0000e-04	 1.9428e+02	 9.8440e-01	 2.8492e+00	
 6.0000e+00	 5.0800e+00	 1.0000e-04	 1.6396e+02	 9.8048e-01	 2.8379e+00	
 7.0000e+00	 4.9883e+00	 1.0000e-04	 1.4906e+02	 9.7730e-01	 2.8296e+00	
 8.0000e+00	 4.9190e+00	 1.0000e-04	 1.3906e+02	 9.7387e-01	 2.8199e+00	
 9.0000e+00	 4.8438e+00	 1.0000e-04	 1.2907e+02	 9.6976e-01	 2.8083e+00	
 1.0000e+01	 4.7931e+00	 1.0000e-04	 1.2265e+02	 9.6593e-01	 2.7971e+00	
 1.1000e+01	 4.7210e+00	 1.0000e-04	 1.1417e+02	 9.6168e-01	 2.7847e+00	
 1.2000e+01	 4.6743e+00	 1.0000e-04	 1.0892e+02	 9.5725e-01	 2.7719e+00	
 1.3000e+01	 4.6169e+00	 1.0000e-04	 1.0288e+02	 9.5309e-01	 2.7599e+00	
 1.4000e+01	 4.5617e+00	 1.0000e-04	 9.7516e+01	 9.4940e-01	 2.7493e+00	
 1.5000e+01	 4.5048e+00	 1.0000e-04	 9.2269e+01	 9.4503e-01	 2.7363e+00	
 1.6000e+01	 4.4465e+00	 1.0000e-04	 8.6971e+01	 9.4044e-01	 2.7233e+00	
 1.7000e+01	 4.3963e+00	 1.0000e-04	 8.2901e+01	 9.3696e-01	 2.7133e+00	
 1.8000e+01	 4.3386e+00	 1.0000e-04	 7.8134e+01	 9.3308e-01	 2.7021e+00	
 1.9000e+01	 4.2959e+00	 1.0000e-04	 7.5061e+01	 9.2941e-01	 2.6918e+00	
 2.0000e+01	 4.2452e+00	 1.0000e-04	 7.1284e+01	 9.2625e-01	 2.6824e+00	
 2.1000e+01	 4.1961e+00	 1.0000e-04	 6.8056e+01	 9.2374e-01	 2.6758e+00	
 2.2000e+01	 4.1467e+00	 1.0000e-04	 6.4749e+01	 9.2051e-01	 2.6670e+00	
 2.3000e+01	 4.0982e+00	 1.0000e-04	 6.1787e+01	 9.1692e-01	 2.6568e+00	
 2.4000e+01	 4.0477e+00	 1.0000e-04	 5.8709e+01	 9.1520e-01	 2.6525e+00	
 2.5000e+01	 4.0058e+00	 1.0000e-04	 5.6340e+01	 9.1262e-01	 2.6458e+00	
 2.6000e+01	 3.9605e+00	 1.0000e-04	 5.4017e+01	 9.0968e-01	 2.6377e+00	
 2.7000e+01	 3.9229e+00	 1.0000e-04	 5.1971e+01	 9.0717e-01	 2.6303e+00	
 2.8000e+01	 3.8700e+00	 1.0000e-04	 4.9279e+01	 9.0549e-01	 2.6264e+00	
 2.9000e+01	 3.8205e+00	 1.0000e-04	 4.6993e+01	 9.0324e-01	 2.6205e+00	
 3.0000e+01	 3.7736e+00	 1.0000e-04	 4.4729e+01	 9.0151e-01	 2.6159e+00	
 3.1000e+01	 3.7441e+00	 1.0000e-04	 4.3606e+01	 8.9948e-01	 2.6105e+00	
 3.2000e+01	 3.6900e+00	 1.0000e-04	 4.1288e+01	 8.9869e-01	 2.6090e+00	
 3.3000e+01	 3.6529e+00	 1.0000e-04	 3.9751e+01	 8.9721e-01	 2.6051e+00	
 3.4000e+01	 3.6047e+00	 1.0000e-04	 3.7948e+01	 8.9567e-01	 2.6010e+00	
 3.5000e+01	 3.5708e+00	 1.0000e-04	 3.6615e+01	 8.9341e-01	 2.5950e+00	
 3.6000e+01	 3.5330e+00	 1.0000e-04	 3.5316e+01	 8.9218e-01	 2.5911e+00	
 3.7000e+01	 3.4810e+00	 1.0000e-04	 3.3416e+01	 8.9209e-01	 2.5912e+00	
 3.8000e+01	 3.4457e+00	 1.0000e-04	 3.2327e+01	 8.9112e-01	 2.5889e+00	
 3.9000e+01	 3.4012e+00	 1.0000e-04	 3.0859e+01	 8.9115e-01	 2.5892e+00	
 4.0000e+01	 3.3625e+00	 1.0000e-04	 2.9708e+01	 8.8965e-01	 2.5854e+00	
 4.1000e+01	 3.3135e+00	 1.0000e-04	 2.8254e+01	 8.8718e-01	 2.5784e+00	
 4.2000e+01	 3.2842e+00	 1.0000e-04	 2.7491e+01	 8.8703e-01	 2.5782e+00	
 4.3000e+01	 3.2445e+00	 1.0000e-04	 2.6367e+01	 8.8523e-01	 2.5725e+00	
 4.4000e+01	 3.2075e+00	 1.0000e-04	 2.5410e+01	 8.8432e-01	 2.5702e+00	
 4.5000e+01	 3.1616e+00	 1.0000e-04	 2.4230e+01	 8.8521e-01	 2.5736e+00	
 4.6000e+01	 3.1180e+00	 1.0000e-04	 2.3229e+01	 8.8400e-01	 2.5703e+00	
 4.7000e+01	 3.0945e+00	 1.0000e-04	 2.2670e+01	 8.8254e-01	 2.5662e+00	
 4.8000e+01	 3.0348e+00	 1.0000e-04	 2.1321e+01	 8.8263e-01	 2.5676e+00	
 4.9000e+01	 2.9939e+00	 1.0000e-04	 2.0468e+01	 8.8141e-01	 2.5647e+00	
 5.0000e+01	 2.9781e+00	 1.0000e-04	 2.0162e+01	 8.8125e-01	 2.5654e+00	
 5.1000e+01	 2.9318e+00	 1.0000e-04	 1.9218e+01	 8.8074e-01	 2.5644e+00	
 5.2000e+01	 2.8872e+00	 1.0000e-04	 1.8415e+01	 8.7946e-01	 2.5614e+00	
 5.3000e+01	 2.8458e+00	 1.0000e-04	 1.7588e+01	 8.8047e-01	 2.5655e+00	
 5.4000e+01	 2.8258e+00	 1.0000e-04	 1.7251e+01	 8.7996e-01	 2.5645e+00	
 5.5000e+01	 2.7793e+00	 1.0000e-04	 1.6472e+01	 8.8078e-01	 2.5674e+00	
 5.6000e+01	 2.7501e+00	 1.0000e-04	 1.6037e+01	 8.8000e-01	 2.5654e+00	
 5.7000e+01	 2.7138e+00	 1.0000e-04	 1.5401e+01	 8.7914e-01	 2.5630e+00	
 5.8000e+01	 2.6587e+00	 1.0000e-04	 1.4576e+01	 8.7954e-01	 2.5644e+00	
 5.9000e+01	 2.6301e+00	 1.0000e-04	 1.4166e+01	 8.7814e-01	 2.5603e+00	
 6.0000e+01	 2.6039e+00	 1.0000e-04	 1.3790e+01	 8.7815e-01	 2.5601e+00	
 6.1000e+01	 2.5555e+00	 1.0000e-04	 1.3117e+01	 8.7897e-01	 2.5622e+00	
 6.2000e+01	 2.5225e+00	 1.0000e-04	 1.2712e+01	 8.7967e-01	 2.5643e+00	
 6.3000e+01	 2.4855e+00	 1.0000e-04	 1.2217e+01	 8.8085e-01	 2.5674e+00	
 6.4000e+01	 2.4431e+00	 1.0000e-04	 1.1723e+01	 8.8097e-01	 2.5673e+00	
 6.5000e+01	 2.4183e+00	 1.0000e-04	 1.1438e+01	 8.7992e-01	 2.5654e+00	
 6.6000e+01	 2.3767e+00	 1.0000e-04	 1.0939e+01	 8.8177e-01	 2.5707e+00	
 6.7000e+01	 2.3401e+00	 1.0000e-04	 1.0564e+01	 8.8319e-01	 2.5766e+00	
 6.8000e+01	 2.2929e+00	 1.0000e-04	 1.0042e+01	 8.8307e-01	 2.5759e+00	
 6.9000e+01	 2.2672e+00	 1.0000e-04	 9.7893e+00	 8.8293e-01	 2.5764e+00	
 7.0000e+01	 2.2240e+00	 1.0000e-04	 9.3805e+00	 8.8280e-01	 2.5756e+00	
 7.1000e+01	 2.1904e+00	 1.0000e-04	 9.0559e+00	 8.8409e-01	 2.5803e+00	
 7.2000e+01	 2.1773e+00	 1.0000e-04	 8.9286e+00	 8.8516e-01	 2.5845e+00	
 7.3000e+01	 2.1342e+00	 1.0000e-04	 8.5704e+00	 8.8558e-01	 2.5848e+00	
 7.4000e+01	 2.1024e+00	 1.0000e-04	 8.3038e+00	 8.8578e-01	 2.5861e+00	
 7.5000e+01	 2.0685e+00	 1.0000e-04	 8.0244e+00	 8.8747e-01	 2.5913e+00	
 7.6000e+01	 2.0333e+00	 1.0000e-04	 7.7340e+00	 8.8697e-01	 2.5893e+00	
 7.7000e+01	 1.9931e+00	 1.0000e-04	 7.4233e+00	 8.8413e-01	 2.5805e+00	
 7.8000e+01	 1.9691e+00	 1.0000e-04	 7.2471e+00	 8.8474e-01	 2.5832e+00	
 7.9000e+01	 1.9307e+00	 1.0000e-04	 6.9735e+00	 8.8376e-01	 2.5807e+00	
 8.0000e+01	 1.9030e+00	 1.0000e-04	 6.7748e+00	 8.8580e-01	 2.5882e+00	
 8.1000e+01	 1.8661e+00	 1.0000e-04	 6.5224e+00	 8.8919e-01	 2.5975e+00	
 8.2000e+01	 1.8440e+00	 1.0000e-04	 6.3827e+00	 8.9371e-01	 2.6114e+00	
 8.3000e+01	 1.8152e+00	 1.0000e-04	 6.2030e+00	 8.9790e-01	 2.6231e+00	
 8.4000e+01	 1.7897e+00	 1.0000e-04	 6.0406e+00	 9.0048e-01	 2.6288e+00	
 8.5000e+01	 1.7655e+00	 1.0000e-04	 5.8966e+00	 8.9625e-01	 2.6159e+00	
 8.6000e+01	 1.7377e+00	 1.0000e-04	 5.7282e+00	 8.9386e-01	 2.6084e+00	
 8.7000e+01	 1.7008e+00	 1.0000e-04	 5.5270e+00	 8.9443e-01	 2.6122e+00	
 8.8000e+01	 1.6501e+00	 1.0000e-04	 5.2499e+00	 8.9642e-01	 2.6200e+00	
 8.9000e+01	 1.6185e+00	 1.0000e-04	 5.0881e+00	 8.9531e-01	 2.6180e+00	
