Epoch	Training Loss.	Learning Rate:  	T. Perplexity. 	V. Loss	V. Perplexity	
 1.0000e+00	 1.0575e+01	 1.0000e-05	 4.5183e+04	 1.7410e+00	 6.8974e+00	
 2.0000e+00	 1.0554e+01	 1.0000e-05	 4.4231e+04	 1.7388e+00	 6.8790e+00	
 3.0000e+00	 1.0537e+01	 1.0000e-05	 4.3462e+04	 1.7366e+00	 6.8602e+00	
 4.0000e+00	 1.0520e+01	 1.0000e-05	 4.2757e+04	 1.7342e+00	 6.8407e+00	
 5.0000e+00	 1.0498e+01	 1.0000e-05	 4.1772e+04	 1.7317e+00	 6.8200e+00	
 6.0000e+00	 1.0478e+01	 1.0000e-05	 4.0967e+04	 1.7290e+00	 6.7974e+00	
 7.0000e+00	 1.0458e+01	 1.0000e-05	 4.0132e+04	 1.7260e+00	 6.7724e+00	
 8.0000e+00	 1.0428e+01	 1.0000e-05	 3.8902e+04	 1.7225e+00	 6.7437e+00	
 9.0000e+00	 1.0403e+01	 1.0000e-05	 3.7924e+04	 1.7183e+00	 6.7095e+00	
 1.0000e+01	 1.0367e+01	 1.0000e-05	 3.6557e+04	 1.7130e+00	 6.6666e+00	
 1.1000e+01	 1.0326e+01	 1.0000e-05	 3.5069e+04	 1.7060e+00	 6.6099e+00	
 1.2000e+01	 1.0266e+01	 1.0000e-05	 3.2944e+04	 1.6959e+00	 6.5286e+00	
 1.3000e+01	 1.0172e+01	 1.0000e-05	 2.9944e+04	 1.6796e+00	 6.4000e+00	
 1.4000e+01	 1.0024e+01	 1.0000e-05	 2.5670e+04	 1.6514e+00	 6.1838e+00	
 1.5000e+01	 9.7820e+00	 1.0000e-05	 2.0022e+04	 1.6068e+00	 5.8584e+00	
 1.6000e+01	 9.4442e+00	 1.0000e-05	 1.4183e+04	 1.5494e+00	 5.4674e+00	
 1.7000e+01	 9.0376e+00	 1.0000e-05	 9.3683e+03	 1.4848e+00	 5.0614e+00	
 1.8000e+01	 8.6088e+00	 1.0000e-05	 6.0331e+03	 1.4170e+00	 4.6707e+00	
 1.9000e+01	 8.1422e+00	 1.0000e-05	 3.7598e+03	 1.3498e+00	 4.3160e+00	
 2.0000e+01	 7.6684e+00	 1.0000e-05	 2.3185e+03	 1.2867e+00	 4.0100e+00	
 2.1000e+01	 7.2617e+00	 1.0000e-05	 1.5438e+03	 1.2303e+00	 3.7566e+00	
 2.2000e+01	 6.8984e+00	 1.0000e-05	 1.0647e+03	 1.1820e+00	 3.5541e+00	
 2.3000e+01	 6.5824e+00	 1.0000e-05	 7.7406e+02	 1.1424e+00	 3.3971e+00	
 2.4000e+01	 6.3285e+00	 1.0000e-05	 5.9958e+02	 1.1109e+00	 3.2779e+00	
 2.5000e+01	 6.1390e+00	 1.0000e-05	 4.9514e+02	 1.0863e+00	 3.1881e+00	
 2.6000e+01	 5.9593e+00	 1.0000e-05	 4.1161e+02	 1.0673e+00	 3.1206e+00	
 2.7000e+01	 5.8163e+00	 1.0000e-05	 3.5652e+02	 1.0525e+00	 3.0693e+00	
 2.8000e+01	 5.7083e+00	 1.0000e-05	 3.2058e+02	 1.0409e+00	 3.0295e+00	
 2.9000e+01	 5.6150e+00	 1.0000e-05	 2.9275e+02	 1.0316e+00	 2.9983e+00	
 3.0000e+01	 5.5427e+00	 1.0000e-05	 2.7194e+02	 1.0241e+00	 2.9736e+00	
 3.1000e+01	 5.4679e+00	 1.0000e-05	 2.5270e+02	 1.0181e+00	 2.9539e+00	
 3.2000e+01	 5.4298e+00	 1.0000e-05	 2.4131e+02	 1.0131e+00	 2.9377e+00	
 3.3000e+01	 5.3853e+00	 1.0000e-05	 2.3165e+02	 1.0090e+00	 2.9243e+00	
 3.4000e+01	 5.3502e+00	 1.0000e-05	 2.2561e+02	 1.0056e+00	 2.9133e+00	
 3.5000e+01	 5.3185e+00	 1.0000e-05	 2.1713e+02	 1.0027e+00	 2.9040e+00	
 3.6000e+01	 5.2703e+00	 1.0000e-05	 2.0716e+02	 1.0003e+00	 2.8963e+00	
 3.7000e+01	 5.2353e+00	 1.0000e-05	 1.9972e+02	 9.9821e-01	 2.8898e+00	
 3.8000e+01	 5.2177e+00	 1.0000e-05	 1.9603e+02	 9.9653e-01	 2.8844e+00	
 3.9000e+01	 5.1727e+00	 1.0000e-05	 1.8749e+02	 9.9510e-01	 2.8801e+00	
 4.0000e+01	 5.1703e+00	 1.0000e-05	 1.8681e+02	 9.9385e-01	 2.8761e+00	
 4.1000e+01	 5.1466e+00	 1.0000e-05	 1.8204e+02	 9.9280e-01	 2.8729e+00	
 4.2000e+01	 5.1248e+00	 1.0000e-05	 1.7918e+02	 9.9187e-01	 2.8700e+00	
 4.3000e+01	 5.0922e+00	 1.0000e-05	 1.7256e+02	 9.9110e-01	 2.8677e+00	
