Epoch	Training Loss	Learning Rate	Valid Loss	
 0.0000e+00	 3.6153e+00	 5.0000e-05	
 1.0000e+00	 3.6301e+00	 5.0000e-05	
 2.0000e+00	 3.6073e+00	 5.0000e-05	
 3.0000e+00	 3.5909e+00	 5.0000e-05	
 4.0000e+00	 3.5772e+00	 5.0000e-05	
 5.0000e+00	 3.5664e+00	 5.0000e-05	
 6.0000e+00	 3.5548e+00	 5.0000e-05	
 7.0000e+00	 3.5449e+00	 5.0000e-05	
 8.0000e+00	 3.5365e+00	 5.0000e-05	
 9.0000e+00	 3.5280e+00	 5.0000e-05	
 1.0000e+01	 3.5188e+00	 5.0000e-05	
 1.1000e+01	 3.5108e+00	 5.0000e-05	
 1.2000e+01	 3.5037e+00	 5.0000e-05	
 1.3000e+01	 3.4966e+00	 5.0000e-05	
 1.4000e+01	 3.4902e+00	 5.0000e-05	
 1.5000e+01	 3.4846e+00	 5.0000e-05	
 1.6000e+01	 3.4782e+00	 5.0000e-05	
 1.7000e+01	 3.4728e+00	 5.0000e-05	
 1.8000e+01	 3.4674e+00	 5.0000e-05	
 1.9000e+01	 3.4625e+00	 5.0000e-05	
 2.0000e+01	 3.4590e+00	 5.0000e-05	
 2.1000e+01	 3.4538e+00	 5.0000e-05	
 2.2000e+01	 3.4490e+00	 5.0000e-05	
 2.3000e+01	 3.4465e+00	 5.0000e-05	
 2.4000e+01	 3.4402e+00	 5.0000e-05	
 2.5000e+01	 3.4360e+00	 5.0000e-05	
 2.6000e+01	 3.4312e+00	 5.0000e-05	
 2.7000e+01	 3.4288e+00	 5.0000e-05	
 2.8000e+01	 3.4242e+00	 5.0000e-05	
 2.9000e+01	 3.4216e+00	 5.0000e-05	
 3.0000e+01	 3.4173e+00	 5.0000e-05	
 3.1000e+01	 3.4139e+00	 5.0000e-05	
 3.2000e+01	 3.4104e+00	 5.0000e-05	
 3.3000e+01	 3.4068e+00	 5.0000e-05	
 3.4000e+01	 3.4038e+00	 5.0000e-05	
 3.5000e+01	 3.4006e+00	 5.0000e-05	
 3.6000e+01	 3.3976e+00	 5.0000e-05	
 3.7000e+01	 3.3950e+00	 5.0000e-05	
 3.8000e+01	 3.3919e+00	 5.0000e-05	
 3.9000e+01	 3.3895e+00	 5.0000e-05	
 4.0000e+01	 3.3862e+00	 5.0000e-05	
 4.1000e+01	 3.3835e+00	 5.0000e-05	
 4.2000e+01	 3.3810e+00	 5.0000e-05	
 4.3000e+01	 3.3783e+00	 5.0000e-05	
 4.4000e+01	 3.3758e+00	 5.0000e-05	
 4.5000e+01	 3.3743e+00	 5.0000e-05	
 4.6000e+01	 3.3713e+00	 5.0000e-05	
 4.7000e+01	 3.3692e+00	 5.0000e-05	
 4.8000e+01	 3.3662e+00	 5.0000e-05	
 4.9000e+01	 3.3639e+00	 5.0000e-05	
