Epoch	Training Loss	Learning Rate	Valid Loss	
 0.0000e+00	 5.5260e+00	 1.0000e-04	 5.9866e+00	
 1.0000e+00	 5.0115e+00	 1.0000e-04	 5.7638e+00	
 2.0000e+00	 4.8136e+00	 1.0000e-04	 5.6639e+00	
 3.0000e+00	 4.6945e+00	 1.0000e-04	 5.6016e+00	
 4.0000e+00	 4.6120e+00	 1.0000e-04	 5.5414e+00	
 5.0000e+00	 4.5502e+00	 1.0000e-04	 5.5016e+00	
 6.0000e+00	 4.5015e+00	 1.0000e-04	 5.4533e+00	
 7.0000e+00	 4.4618e+00	 1.0000e-04	 5.3966e+00	
 8.0000e+00	 4.4286e+00	 1.0000e-04	 5.3713e+00	
 9.0000e+00	 4.4004e+00	 1.0000e-04	 5.3382e+00	
 1.0000e+01	 4.3751e+00	 1.0000e-04	 5.3289e+00	
 1.1000e+01	 4.3538e+00	 1.0000e-04	 5.3507e+00	
 1.2000e+01	 4.3345e+00	 1.0000e-04	 5.3335e+00	
 1.3000e+01	 4.3178e+00	 1.0000e-04	 5.3407e+00	
 1.4000e+01	 4.3020e+00	 1.0000e-04	 5.3226e+00	
 1.5000e+01	 4.2884e+00	 1.0000e-04	 5.3153e+00	
 1.6000e+01	 4.2757e+00	 1.0000e-04	 5.3096e+00	
 1.7000e+01	 4.2637e+00	 1.0000e-04	 5.2667e+00	
 1.8000e+01	 4.2531e+00	 1.0000e-04	 5.3075e+00	
 1.9000e+01	 4.2433e+00	 1.0000e-04	 5.2945e+00	
 2.0000e+01	 4.2337e+00	 1.0000e-04	 5.2822e+00	
 2.1000e+01	 4.2258e+00	 1.0000e-04	 5.2941e+00	
 2.2000e+01	 4.2176e+00	 1.0000e-04	 5.2247e+00	
 2.3000e+01	 4.2099e+00	 1.0000e-04	 5.2522e+00	
 2.4000e+01	 4.2028e+00	 1.0000e-04	 5.2647e+00	
 2.5000e+01	 4.1960e+00	 1.0000e-04	 5.2747e+00	
 2.6000e+01	 4.1895e+00	 1.0000e-04	 5.2530e+00	
 2.7000e+01	 4.1835e+00	 1.0000e-04	 5.2572e+00	
 2.8000e+01	 4.1780e+00	 1.0000e-04	 5.2519e+00	
 2.9000e+01	 4.1730e+00	 1.0000e-04	 5.2693e+00	
 3.0000e+01	 4.1675e+00	 1.0000e-04	 5.2516e+00	
