Epoch	Training Loss	Learning Rate	Valid Loss	
 0.0000e+00	 4.3516e+00	 5.0000e-06	 4.9529e+00	
 1.0000e+00	 4.2954e+00	 5.0000e-06	 4.8978e+00	
 2.0000e+00	 4.2788e+00	 5.0000e-06	 4.8740e+00	
 3.0000e+00	 4.2704e+00	 5.0000e-06	 4.8629e+00	
 4.0000e+00	 4.2644e+00	 5.0000e-06	 4.8530e+00	
 5.0000e+00	 4.2593e+00	 5.0000e-06	 4.8496e+00	
 6.0000e+00	 4.2563e+00	 5.0000e-06	 4.8438e+00	
 7.0000e+00	 4.2531e+00	 5.0000e-06	 4.8381e+00	
 8.0000e+00	 4.2511e+00	 5.0000e-06	 4.8394e+00	
 9.0000e+00	 4.2496e+00	 5.0000e-06	 4.8412e+00	
 1.0000e+01	 4.2475e+00	 5.0000e-06	 4.8438e+00	
 1.1000e+01	 4.2464e+00	 5.0000e-06	 4.8475e+00	
 1.2000e+01	 4.2456e+00	 5.0000e-06	 4.8488e+00	
