Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.7863e+00	 1.0000e-04	
 1.0000e+00	 4.7462e+00	 1.0000e-04	
 2.0000e+00	 4.6728e+00	 1.0000e-04	
 3.0000e+00	 4.6657e+00	 1.0000e-04	
 4.0000e+00	 4.6094e+00	 1.0000e-04	
 5.0000e+00	 4.5850e+00	 1.0000e-04	
 6.0000e+00	 4.5843e+00	 1.0000e-04	
 7.0000e+00	 4.5263e+00	 1.0000e-04	
 8.0000e+00	 4.5191e+00	 1.0000e-04	
 9.0000e+00	 4.4948e+00	 1.0000e-04	
 1.0000e+01	 4.4523e+00	 1.0000e-04	
 1.1000e+01	 4.4725e+00	 1.0000e-04	
 1.2000e+01	 4.4581e+00	 1.0000e-04	
 1.3000e+01	 4.4236e+00	 1.0000e-04	
 1.4000e+01	 4.4170e+00	 1.0000e-04	
 1.5000e+01	 4.4317e+00	 1.0000e-04	
 1.6000e+01	 4.4088e+00	 1.0000e-04	
 1.7000e+01	 4.3824e+00	 1.0000e-04	
 1.8000e+01	 4.3584e+00	 1.0000e-04	
 1.9000e+01	 4.3489e+00	 1.0000e-04	
 2.0000e+01	 4.3546e+00	 1.0000e-04	
 2.1000e+01	 4.3397e+00	 1.0000e-04	
 2.2000e+01	 4.3186e+00	 1.0000e-04	
 2.3000e+01	 4.3075e+00	 1.0000e-04	
 2.4000e+01	 4.3216e+00	 1.0000e-04	
 2.5000e+01	 4.2929e+00	 1.0000e-04	
 2.6000e+01	 4.2736e+00	 1.0000e-04	
 2.7000e+01	 4.2680e+00	 1.0000e-04	
 2.8000e+01	 4.2665e+00	 1.0000e-04	
 2.9000e+01	 4.2549e+00	 1.0000e-04	
 3.0000e+01	 4.2469e+00	 1.0000e-04	
 3.1000e+01	 4.2325e+00	 1.0000e-04	
 3.2000e+01	 4.2258e+00	 1.0000e-04	
 3.3000e+01	 4.2283e+00	 1.0000e-04	
 3.4000e+01	 4.2279e+00	 1.0000e-04	
 3.5000e+01	 4.2191e+00	 1.0000e-04	
 3.6000e+01	 4.2232e+00	 1.0000e-04	
 3.7000e+01	 4.2117e+00	 1.0000e-04	
 3.8000e+01	 4.2012e+00	 1.0000e-04	
 3.9000e+01	 4.2056e+00	 1.0000e-04	
 4.0000e+01	 4.1739e+00	 1.0000e-04	
 4.1000e+01	 4.1834e+00	 1.0000e-04	
 4.2000e+01	 4.1962e+00	 1.0000e-04	
 4.3000e+01	 4.1702e+00	 1.0000e-04	
 4.4000e+01	 4.1928e+00	 1.0000e-04	
 4.5000e+01	 4.1772e+00	 1.0000e-04	
 4.6000e+01	 4.1656e+00	 1.0000e-04	
 4.7000e+01	 4.1944e+00	 1.0000e-04	
 4.8000e+01	 4.1618e+00	 1.0000e-04	
 4.9000e+01	 4.1553e+00	 1.0000e-04	
