Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.2720e+00	 5.0000e-06	
 1.0000e+00	 4.2200e+00	 5.0000e-06	
 2.0000e+00	 4.2189e+00	 5.0000e-06	
 3.0000e+00	 4.1554e+00	 5.0000e-06	
 4.0000e+00	 4.1508e+00	 5.0000e-06	
 5.0000e+00	 4.1512e+00	 5.0000e-06	
 6.0000e+00	 4.1561e+00	 5.0000e-06	
 7.0000e+00	 4.1571e+00	 5.0000e-06	
 8.0000e+00	 4.1429e+00	 5.0000e-06	
 9.0000e+00	 4.1398e+00	 5.0000e-06	
 1.0000e+01	 4.1810e+00	 5.0000e-06	
 1.1000e+01	 4.1545e+00	 5.0000e-06	
 1.2000e+01	 4.1534e+00	 5.0000e-06	
 1.3000e+01	 4.1475e+00	 5.0000e-06	
 1.4000e+01	 4.1614e+00	 5.0000e-06	
 1.5000e+01	 4.1616e+00	 5.0000e-06	
 1.6000e+01	 4.1382e+00	 5.0000e-06	
 1.7000e+01	 4.1229e+00	 5.0000e-06	
 1.8000e+01	 4.1550e+00	 5.0000e-06	
 1.9000e+01	 4.1563e+00	 5.0000e-06	
 2.0000e+01	 4.1458e+00	 5.0000e-06	
 2.1000e+01	 4.1645e+00	 5.0000e-06	
 2.2000e+01	 4.1275e+00	 5.0000e-06	
 2.3000e+01	 4.1524e+00	 5.0000e-06	
 2.4000e+01	 4.1728e+00	 5.0000e-06	
 2.5000e+01	 4.1364e+00	 5.0000e-06	
 2.6000e+01	 4.1425e+00	 5.0000e-06	
 2.7000e+01	 4.1321e+00	 5.0000e-06	
 2.8000e+01	 4.1295e+00	 5.0000e-06	
 2.9000e+01	 4.1218e+00	 5.0000e-06	
 3.0000e+01	 4.1410e+00	 5.0000e-06	
 3.1000e+01	 4.1281e+00	 5.0000e-06	
 3.2000e+01	 4.1371e+00	 5.0000e-06	
 3.3000e+01	 4.1140e+00	 5.0000e-06	
 3.4000e+01	 4.1383e+00	 5.0000e-06	
 3.5000e+01	 4.1341e+00	 5.0000e-06	
 3.6000e+01	 4.1270e+00	 5.0000e-06	
 3.7000e+01	 4.1433e+00	 5.0000e-06	
 3.8000e+01	 4.1100e+00	 5.0000e-06	
 3.9000e+01	 4.1503e+00	 5.0000e-06	
 4.0000e+01	 4.1798e+00	 5.0000e-06	
 4.1000e+01	 4.1571e+00	 5.0000e-06	
 4.2000e+01	 4.1225e+00	 5.0000e-06	
 4.3000e+01	 4.1510e+00	 5.0000e-06	
 4.4000e+01	 4.1254e+00	 5.0000e-06	
 4.5000e+01	 4.1259e+00	 5.0000e-06	
 4.6000e+01	 4.1697e+00	 5.0000e-06	
 4.7000e+01	 4.1504e+00	 5.0000e-06	
 4.8000e+01	 4.1298e+00	 5.0000e-06	
 4.9000e+01	 4.1585e+00	 5.0000e-06	
