Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 6.0511e+00	 1.0000e-01	
 1.0000e+00	 5.8549e+00	 1.0000e-01	
 2.0000e+00	 5.7223e+00	 1.0000e-01	
 3.0000e+00	 5.6538e+00	 1.0000e-01	
 4.0000e+00	 5.5930e+00	 1.0000e-01	
 5.0000e+00	 5.5087e+00	 1.0000e-01	
 6.0000e+00	 5.4700e+00	 1.0000e-01	
 7.0000e+00	 5.4314e+00	 1.0000e-01	
 8.0000e+00	 5.3972e+00	 1.0000e-01	
 9.0000e+00	 5.3609e+00	 1.0000e-01	
 1.0000e+01	 5.3317e+00	 1.0000e-01	
 1.1000e+01	 5.2971e+00	 1.0000e-01	
 1.2000e+01	 5.2742e+00	 1.0000e-01	
 1.3000e+01	 5.2473e+00	 1.0000e-01	
 1.4000e+01	 5.2393e+00	 1.0000e-01	
 1.5000e+01	 5.2077e+00	 1.0000e-01	
 1.6000e+01	 5.1883e+00	 1.0000e-01	
 1.7000e+01	 5.1783e+00	 1.0000e-01	
 1.8000e+01	 5.1647e+00	 1.0000e-01	
 1.9000e+01	 5.1404e+00	 1.0000e-01	
 2.0000e+01	 5.1304e+00	 1.0000e-01	
 2.1000e+01	 5.1055e+00	 1.0000e-01	
 2.2000e+01	 5.0899e+00	 1.0000e-01	
 2.3000e+01	 5.0809e+00	 1.0000e-01	
 2.4000e+01	 5.0653e+00	 1.0000e-01	
 2.5000e+01	 5.0665e+00	 1.0000e-01	
 2.6000e+01	 5.0422e+00	 1.0000e-01	
 2.7000e+01	 5.0450e+00	 1.0000e-01	
 2.8000e+01	 5.0187e+00	 1.0000e-01	
 2.9000e+01	 5.0078e+00	 1.0000e-01	
 3.0000e+01	 4.9938e+00	 1.0000e-01	
 3.1000e+01	 4.9974e+00	 1.0000e-01	
 3.2000e+01	 4.9771e+00	 1.0000e-01	
 3.3000e+01	 4.9687e+00	 1.0000e-01	
 3.4000e+01	 4.9684e+00	 1.0000e-01	
 3.5000e+01	 4.9548e+00	 1.0000e-01	
 3.6000e+01	 4.9295e+00	 1.0000e-01	
 3.7000e+01	 4.9277e+00	 1.0000e-01	
 3.8000e+01	 4.9294e+00	 1.0000e-01	
 3.9000e+01	 4.9153e+00	 1.0000e-01	
 4.0000e+01	 4.9130e+00	 1.0000e-01	
 4.1000e+01	 4.9025e+00	 1.0000e-01	
 4.2000e+01	 4.8891e+00	 1.0000e-01	
 4.3000e+01	 4.8809e+00	 1.0000e-01	
 4.4000e+01	 4.8704e+00	 1.0000e-01	
 4.5000e+01	 4.8753e+00	 1.0000e-01	
 4.6000e+01	 4.8791e+00	 1.0000e-01	
 4.7000e+01	 4.8608e+00	 1.0000e-01	
 4.8000e+01	 4.8515e+00	 1.0000e-01	
 4.9000e+01	 4.8613e+00	 1.0000e-01	
