Epoch	Training Loss.	Learning Rate:  	
 0.0000e+00	 4.7844e+00	 5.0000e-04	
 1.0000e+00	 4.6219e+00	 5.0000e-04	
 2.0000e+00	 4.5032e+00	 5.0000e-04	
 3.0000e+00	 4.4116e+00	 5.0000e-04	
 4.0000e+00	 4.3348e+00	 5.0000e-04	
 5.0000e+00	 4.2848e+00	 5.0000e-04	
 6.0000e+00	 4.2490e+00	 5.0000e-04	
 7.0000e+00	 4.2229e+00	 5.0000e-04	
 8.0000e+00	 4.1910e+00	 5.0000e-04	
 9.0000e+00	 4.1602e+00	 5.0000e-04	
 1.0000e+01	 4.1551e+00	 5.0000e-04	
 1.1000e+01	 4.1004e+00	 5.0000e-04	
 1.2000e+01	 4.0821e+00	 5.0000e-04	
 1.3000e+01	 4.0324e+00	 5.0000e-04	
 1.4000e+01	 4.0390e+00	 5.0000e-04	
 1.5000e+01	 4.0328e+00	 5.0000e-04	
 1.6000e+01	 4.0155e+00	 5.0000e-04	
 1.7000e+01	 4.0126e+00	 5.0000e-04	
 1.8000e+01	 3.9686e+00	 5.0000e-04	
 1.9000e+01	 3.9870e+00	 5.0000e-04	
 2.0000e+01	 3.9794e+00	 5.0000e-04	
 2.1000e+01	 3.9605e+00	 5.0000e-04	
 2.2000e+01	 3.9598e+00	 5.0000e-04	
 2.3000e+01	 3.9359e+00	 5.0000e-04	
 2.4000e+01	 3.9292e+00	 5.0000e-04	
 2.5000e+01	 3.9137e+00	 5.0000e-04	
 2.6000e+01	 3.9128e+00	 5.0000e-04	
 2.7000e+01	 3.9673e+00	 5.0000e-04	
 2.8000e+01	 3.9417e+00	 5.0000e-04	
 2.9000e+01	 3.9237e+00	 5.0000e-04	
 3.0000e+01	 3.9144e+00	 5.0000e-04	
 3.1000e+01	 3.9054e+00	 5.0000e-04	
 3.2000e+01	 3.9009e+00	 5.0000e-04	
 3.3000e+01	 3.8845e+00	 5.0000e-04	
 3.4000e+01	 3.8765e+00	 5.0000e-04	
 3.5000e+01	 3.8994e+00	 5.0000e-04	
 3.6000e+01	 3.8760e+00	 5.0000e-04	
